Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
625;0.0840155182464023;0.0340824695552367;0.0169026912498111;0.0079153673827969;0.0476290876294658;0.02564;0.0474;0;0;37799;2650.27;2090;0;255.8;0;2090;255.8;35709;2394.47
626;0.0821607701337867;0.0559546317360115;0.0277494123553809;0.0105130936027474;0.0535019853369021;0.04377;0.06424;0;0;38397;2697.73;2523;0;262.9;0;2523;262.9;35874;2434.83
627;0.069898696136175;0.0856568990530846;0.0415101582791799;0.0132008693395096;0.057430394507157;0.05761;0.07842;0;0;40621;2798.12;3065;0;245.1;0;3065;245.1;37556;2553.02
628;0.0465963707571801;0.105040878278336;0.0493494857689789;0.0119662179538376;0.0529248190387525;0.06485;0.08623;0;0;45000;3001.38;3541;2;303.7;0.19;3543;303.89;41457;2697.49
629;0.0287435934179367;0.118443694232425;0.0526848472453109;0.00854921731491095;0.0493273687885488;0.08879;0.10546;0;0;53538;3597.95;4032;353;265.2;12.49;4385;277.69;49153;3320.26
630;0.0161174867933694;0.112528718622669;0.0499134145383104;0.00655961065410111;0.0484495612708018;0.1276;0.14865;0.0176671273578107;0.0306333405828621;59661;4195.78;3960;2136;234.8;55.04;6096;289.84;53565;3905.94
631;0.0137013726799846;0.106008119942611;0.0455686433932799;0.00671834877405958;0.0601926789247062;0.16623;0.21026;0.0677068189849625;0.163997511961722;62987;4441.45;3933;5043;145;138.3;8976;283.3;54011;4158.15
632;0.0244158052502682;0.123341979225251;0.0519707300052055;0.0105023967734207;0.0874471965553357;0.20129;0.27853;0.140770434603197;0.326994815137016;64186;4515.73;3989;8050;258.1;220.94;12039;479.04;52147;4036.69
633;0.0388472955249256;0.142253325337159;0.0645636240659581;0.01657128544046;0.120051436052601;0.2255;0.32192;0.221122384102278;0.441895384949978;65550;4581.44;4447;11232;527.8;298.8;15679;826.6;49871;3754.84
634;0.0517513664055701;0.16195747420373;0.0788306674055043;0.0299577346058622;0.149605097172117;0.25521;0.36205;0.28411625220316;0.495692731622445;67190;4571.71;4660;13544;755.9;330.89;18204;1086.79;48986;3484.92
635;0.0623795832574331;0.173629804992826;0.10172115866539;0.04761139525597;0.180493614569999;0.27785;0.38774;0.300289657422846;0.483055837320574;66765;4500.84;5086;14626;1023.8;349.27;19712;1373.07;47053;3127.77
636;0.0739481585605279;0.185430087116212;0.138608782294763;0.0662578036898011;0.209329548469685;0.29169;0.39299;0.307474975983822;0.470642079164854;65845;4502.9;5679;14519;1233;343.95;20198;1576.95;45647;2925.95
637;0.0977014625457931;0.193227904964132;0.177473792588115;0.0863201313792828;0.227632575352031;0.30601;0.40226;0.288545910957596;0.491461896476729;64940;4417.56;6630;13760;1268;349.64;20390;1617.64;44550;2799.92
638;0.139635513388791;0.198503583701578;0.206974936040166;0.108813350770705;0.236313966018853;0.31952;0.42126;0.239407603379312;0.494889273597216;63755;4225.7;7716;11808;1337.8;351.23;19524;1689.03;44231;2536.67
639;0.197099245451049;0.208452951965567;0.220595571776401;0.127093091206773;0.239979830094263;0.32439;0.43972;0.183341515539729;0.466097677250979;62030;4114.28;8841;9534;1606.1;301.73;18375;1907.83;43655;2206.45
640;0.22727290930435;0.218456800344333;0.211661778046446;0.130303887069723;0.23993526358664;0.30454;0.44638;0.138710128205785;0.37419488908221;61338;4325.28;9166;6505;1780.2;220.67;15671;2000.87;45667;2324.41
641;0.211419807719554;0.215653059512195;0.190128488203785;0.124474689321939;0.228785430001164;0.26695;0.43776;0.0792702886404392;0.22374858199217;60482;4214.28;8711;3246;1668.1;124.21;11957;1792.31;48525;2421.97
642;0.201934190499322;0.18124944723099;0.164254432555875;0.10609590567846;0.195788714069592;0.21835;0.41401;0.0286897665839666;0.0704591213571118;59761;4043.99;8080;944;1632.5;61.74;9024;1694.24;50737;2349.75
643;0.214145328192361;0.161376200516499;0.149035427904556;0.0925722378404281;0.162888430117538;0.16503;0.37909;0.0031934749159891;0.0128443453675511;57952;3841.32;7130;94;1479.9;9.06;7224;1488.96;50728;2352.36
644;0.222556689942721;0.163073442754663;0.146392950044498;0.0893289888986503;0.142697161643198;0.11315;0.33822;0;0;56029;3843.72;6744;0;1387.3;0.14;6744;1387.44;49285;2456.28
645;0.217106838302265;0.161408999483501;0.138831305492586;0.0853993311237122;0.128958600023275;0.07475;0.29174;0;0;51923;3525.25;6268;0;1304.9;0.06;6268;1304.96;45655;2220.29
646;0.2126156463659;0.161250908694405;0.137299973401844;0.0829734713681016;0.118566774118469;0.05096;0.24054;0;0;46752;3163.57;6055;0;1167.2;0;6055;1167.2;40697;1996.37
647;0.194350520169207;0.153540255609756;0.132312524944167;0.0768749385033144;0.114420024438496;0.0393;0.19568;0;0;43869;2942.61;5843;0;966.5;0;5843;966.5;38026;1976.11
648;0.175057552573522;0.133122096298422;0.11655632844693;0.0669413449405;0.115478228790876;0.03198;0.15465;0;0;42367;2825.5;5620;0;834.4;0;5620;834.4;36747;1991.1
649;0.154327969518489;0.10729423517934;0.0982312950816919;0.0556347939461704;0.116028214826021;0.02452;0.11554;0;0;41723;2806.5;4867;0;723.2;0;4867;723.2;36856;2083.3
650;0.141602384075131;0.0849954481492109;0.079693014524877;0.0428622594042009;0.110242645176306;0.01903;0.07253;0;0;42515;2830.9;4036;0;625.3;0;4036;625.3;38479;2205.6
651;0.133240911206914;0.0693670405738881;0.0633735665709536;0.0294209639805127;0.0957229046898638;0.02881;0.04915;0;0;44255;2926.78;3422;0;528.9;0;3422;528.9;40833;2397.88
652;0.1265299568887;0.0576574730559541;0.0457119465686028;0.0194352092484626;0.0706550133829861;0.05229;0.03497;0;0;47794;3120.48;3078;2;441.6;0.41;3080;442.01;44714;2678.47
653;0.13616962515433;0.0507350443615495;0.0332750170772253;0.0132949948087213;0.0485457267543349;0.09965;0.02719;0;0.00749408003479774;54992;3637.81;2894;266;357.7;18.88;3160;376.58;51832;3261.23
654;0.147826548059991;0.0471487973601148;0.0243690199318254;0.00883991933551633;0.0318344675898987;0.17302;0.04331;0.0184397422568403;0.0428971683340583;60459;4216.09;2998;1590;276.2;79.07;4588;355.27;55871;3860.82
655;0.155834034246159;0.0515699379053085;0.0228124000134334;0.00635250379362671;0.0247455777958804;0.26028;0.07861;0.0795278269401158;0.207655824271422;63242;4512.82;2794;3913;275.4;177.08;6707;452.48;56535;4060.34
656;0.183460569959722;0.0604838441319943;0.0231195118297987;0.00540203058861113;0.0249178680321192;0.3366;0.13576;0.184551945548209;0.37167501522401;63308;4545.07;3167;6788;327.9;257.53;9955;585.43;53353;3959.64
657;0.220650503977169;0.0794438232424677;0.0246694194750894;0.00616587253414264;0.0280750285115792;0.38377;0.21201;0.285970527960831;0.488469330143541;64482;4640.8;3640;9642;389.1;327.34;13282;716.44;51200;3924.36
658;0.234154147590422;0.104059132395983;0.0275558215707017;0.00874902364028432;0.0358524240661003;0.39834;0.29208;0.367069338528973;0.565720487168334;65606;4571.83;3869;11838;526.4;372.72;15707;899.12;49899;3672.71
659;0.251956161070294;0.142104295322812;0.0386364241935755;0.0154460781886431;0.0485418899103922;0.40768;0.37598;0.389912985710283;0.602913188342758;65067;4459.27;4320;13008;629.2;405.22;17328;1034.42;47739;3424.85
660;0.288908499402919;0.19328117784792;0.0611297467465955;0.0266091438383516;0.0670635633655301;0.42218;0.42708;0.383500282048337;0.649553484123532;64353;4432.35;5352;12930;724.7;405.92;18282;1130.62;46071;3301.73
661;0.332886953872933;0.239458453256815;0.0909751309253942;0.0398414088331603;0.0844196811358082;0.45488;0.4425;0.364493955532208;0.623546981296216;62629;4337.67;6253;12044;832.2;406.67;18297;1238.87;44332;3098.8
662;0.353342166494626;0.263539567632712;0.116790724699008;0.052724424966057;0.101352681252182;0.50444;0.43748;0.327202409739045;0.597663475424097;61552;4150.49;7180;11027;954;372.24;18207;1326.24;43345;2824.25
663;0.34285203007671;0.265260903529412;0.138060202307189;0.0646171871256289;0.1172400337484;0.55336;0.43533;0.272836074677327;0.489977385819922;60633;4068.63;8684;9743;1116.1;299.55;18427;1415.65;42206;2652.98
664;0.305712182484263;0.243652596728838;0.148013172065219;0.067918149109496;0.122179422785989;0.57302;0.45389;0.207318331239615;0.324480073945194;59379;4279.14;8467;7454;1254;187.71;15921;1441.71;43458;2837.43
665;0.223054348371688;0.195483983242468;0.142048994206841;0.0627619754811916;0.111799912719656;0.56989;0.48018;0.130674933255877;0.173094549804263;59626;4198.57;8111;4623;1361.6;97.72;12734;1459.32;46892;2739.25
666;0.117023519744166;0.119134250789096;0.114468973687304;0.0571807970609376;0.0983003433026882;0.5542;0.49443;0.0440905569046238;0.0615717442366246;59531;4000.15;8354;1702;1357.6;40.46;10056;1398.06;49475;2602.09
667;0.0736878909871071;0.0776267785365854;0.107036534448307;0.0651378420253973;0.0922774793436518;0.53471;0.50089;0.0044296587544365;0.0131968943018704;58059;3845.41;7877;184;1375.4;7.36;8061;1382.76;49998;2462.65
668;0.0554596682656304;0.0660421461119082;0.120016370124091;0.0807267838032106;0.0951845816362155;0.52449;0.49913;0;0;56404;3879.72;6702;0;1477.9;0.03;6702;1477.93;49702;2401.79
