Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
1737;0.206030048980914;0.281040754662841;0.536417394455359;0.25609489018449;0.212678638426626;0.63514;0.71783;0.0556282727301328;0.0249267290126142;58008;3949.44;18349;1685;1850.6;30.09;20034;1880.69;37974;2068.75
1738;0.163791048434432;0.232889347144907;0.488145149026917;0.238493911828129;0.206286196904457;0.59142;0.67008;0.140487142473553;0.175098203566768;59505;4069.95;17432;3578;1877.8;95.02;21010;1972.82;38495;2097.13
1739;0.136843955107576;0.195998697388809;0.439068253454906;0.221200753933392;0.202343373676248;0.5437;0.62657;0.206751746980327;0.305978260113093;60192;4018.54;16135;5310;1830.7;147.39;21445;1978.09;38747;2040.45
1740;0.128400106057846;0.187440027546628;0.398918453377664;0.205724210526316;0.189633736762481;0.48432;0.57436;0.213937065541302;0.349015628534145;59424;3915.39;14784;5798;1749.6;146.82;20582;1896.42;38842;2018.97
1741;0.119060544052462;0.17820323902439;0.341919746343593;0.181382932673109;0.17393618410334;0.43559;0.50736;0.170413092895967;0.287223684210526;57723;3852.34;13053;4874;1617.1;88.02;17927;1705.12;39796;2147.22
1742;0.108916623352966;0.170246173314204;0.281049230466979;0.150248020924846;0.15678346212033;0.4233;0.44959;0.105178641587899;0.153479956502827;56069;3847.31;11417;2770;1394;31.12;14187;1425.12;41882;2422.19
1743;0.11073593964418;0.1800752241033;0.237373392238846;0.12683505950004;0.140060529500756;0.41147;0.42146;0.040794066668764;0.00886010439321444;55823;3984.75;9981;741;1179.2;3.41;10722;1182.61;45101;2802.14
1744;0.134855413402959;0.232805409354376;0.22060837220627;0.112209883395895;0.116408717560805;0.38457;0.36121;0.00540830429320735;0;58339;4366.55;9727;26;1068.2;0.01;9753;1068.21;48586;3298.34
1745;0.160396169368713;0.314954574576758;0.211063874834181;0.0938636362910311;0.0935880460840219;0.4044;0.33246;0;0;60462;4654.48;10917;0;947.1;0;10917;947.1;49545;3707.38
1746;0.182189736676989;0.39763149107604;0.215454592211979;0.0850073524478876;0.0783328371930641;0.43485;0.2768;0;0;60199;4544.55;12351;0;889.8;0.01;12351;889.81;47848;3654.74
1747;0.217609300099176;0.504980538651363;0.244039880173963;0.0732726383675425;0.056753090887932;0.47641;0.23364;0;0;58457;4202.27;13985;0;916.1;0;13985;916.1;44472;3286.17
1748;0.264169430647479;0.622934490789096;0.284840073547932;0.0680325728775657;0.0406113476085186;0.50757;0.20182;0;0;55267;3934.46;16408;0;896;0;16408;896;38859;3038.46
