Timestep;Total_load;LFS;LFW;Load_res
154;11.5163625;0.002007431;0.315351036;2770.36368
155;11.9330575;0.010475721;0.22106573;2882.08872
156;12.06205;0.020336768;0.12839192;3071.98248
157;12.17234;0.025006096;0.093410712;3108.00168
158;11.946;0.023068939;0.082006568;2920.81104
159;11.65553;0.018245518;0.078821822;2759.148
160;11.5700875;0.008988987;0.090144372;2725.04736
161;11.6536;0.001509595;0.075097787;2801.69064
162;12.244885;0;0.075951982;3420.42792
163;12.1353325;0;0.068018165;3577.2912
164;11.7440175;0;0.059808967;3360.49056
165;11.1911475;0;0.035321611;3100.12584
166;10.853075;0;0.022168279;2782.61256
167;11.0129225;0;0.0358915;2469.43536
168;11.0569875;0;0.023513318;2058.80304
169;10.6016775;0;0.031971125;1710.96072
170;10.116965;0;0.036299473;1469.32632
171;9.6926825;0;0.035920823;1327.68216
172;9.3753575;0;0.027390344;1200.8556
173;9.3139275;0;0.037233988;1167.0708
174;9.2039525;0;0.03057764;1154.66064
175;9.31256;0;0.038079259;1268.34792
176;9.4301775;0;0.036619478;1600.55616
177;9.8047325;2.37E-05;0.030029426;2289.8652
178;10.3089125;0.011865936;0.023747903;2769.87144
179;10.8085225;0.041968078;0.020948182;3001.08984
180;11.1761175;0.063369096;0.023263434;3296.03568
181;11.3766475;0.071768807;0.020555508;3327.56256
182;11.18109;0.064649246;0.016548439;3047.226
183;10.8389475;0.04618783;0.015546353;2835.8484
184;10.7417325;0.019080324;0.013327996;2750.82864
185;10.7509825;0.002292755;0.016278157;2779.8708
186;11.36103;0;0.016742227;3396.67944
187;11.630555;0;0.017394985;3569.59344
188;11.47805;0;0.018339699;3447.61704
189;11.1334;0;0.018112764;3245.76336
190;10.6766475;0;0.020843639;2929.77216
191;10.653005;0;0.022733068;2530.06488
192;10.55816;0;0.035936122;1972.6224
193;10.1312075;0;0.051921047;1518.91152
194;9.6386775;0;0.059328322;1314.99816
195;9.328285;0;0.084193053;1221.2592
196;9.27317;0;0.106729784;1142.6856
197;9.366855;0;0.114631727;1153.15704
198;9.8083025;0;0.154792928;1245.0816
199;11.0664675;0;0.177380655;1682.7216
200;12.0368575;0;0.209716408;2266.15704
201;12.54493;3.89E-05;0.273090045;2441.7624
202;12.54537;0.010358036;0.310473199;2433.45984
203;12.6080025;0.046270802;0.351283333;2423.96784
204;12.674735;0.089642642;0.362032169;2575.89528
205;12.4042975;0.089020347;0.327590252;2460.99168
206;12.4507925;0.062964393;0.433275877;2266.34352
207;12.3901875;0.038754157;0.47253316;2188.0068
208;12.3932925;0.016138182;0.508151828;2230.32936
209;12.47448;0.002234335;0.548765624;2492.05992
210;12.98776;0;0.587343376;3336.17592
211;12.9136225;0;0.640597988;3574.4856
212;12.3488075;0;0.638592541;3428.01984
213;11.8098875;0;0.686729631;3146.4048
214;11.1365;0;0.666158824;2871.28632
215;11.124275;0;0.578536241;2556.27624
216;10.940885;0;0.466241439;2006.24088
217;10.441475;0;0.541283129;1547.26152
218;9.9922575;0;0.542399957;1326.23064
219;9.7289675;0;0.458078137;1229.52144
220;9.5431475;0;0.369123264;1141.58016
221;9.6379;0;0.366104258;1155.45528
222;10.19103;0;0.35561168;1248.6768
223;11.31821;0;0.294042052;1687.434
224;12.2586825;0;0.242507305;2256.3828
225;12.6394325;4.23E-05;0.2094423;2402.26224
226;12.6064475;0.022977499;0.256969979;2357.7792
227;12.62491;0.056003157;0.288303644;2326.80336
228;12.7329625;0.08907538;0.186764054;2467.60752
229;12.5877475;0.098110933;0.179695907;2368.84032
230;12.649175;0.079851022;0.149626959;2173.88304
231;12.512105;0.055669573;0.1310463;2106.92496
232;12.4783975;0.034187274;0.113434579;2171.37984
233;12.34548;0.004939413;0.105921486;2430.75504
234;13.0415225;0;0.095819033;3286.43784
235;13.0520275;0;0.126558587;3526.48464
236;12.544335;0;0.131789577;3396.34008
237;12.047055;0;0.125323192;3121.4652
238;11.406925;0;0.140021725;2851.36152
239;11.447535;0;0.156565064;2558.95248
240;11.411905;0;0.195763702;2014.07136
241;10.7511525;0;0.17534971;1556.15376
242;10.2830125;0;0.239376106;1330.39704
243;9.9071;0;0.352516179;1231.47696
244;9.5896275;0;0.452657185;1142.2572
245;9.54285;0;0.478821058;1155.80808
246;9.840675;0;0.545960804;1248.1728
247;10.8562325;0;0.626819946;1683.21384
248;11.9023125;0;0.70109031;2255.77296
249;12.384845;1.44E-05;0.703612098;2425.29168
250;12.3808975;0.002566226;0.724010791;2376.48264
251;12.2320075;0.017486064;0.756967429;2349.29856
252;12.27264;0.05188077;0.748116946;2506.43736
253;12.04857;0.072021112;0.766372501;2462.73384
