"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"13.06.2017 14:30 - 13.06.2017 14:45","10726","10900"
"13.06.2017 14:45 - 13.06.2017 15:00","10755","10895"
"13.06.2017 15:00 - 13.06.2017 15:15","10725","10800"
"13.06.2017 15:15 - 13.06.2017 15:30","10681","10759"
"13.06.2017 15:30 - 13.06.2017 15:45","10655","10706"
"13.06.2017 15:45 - 13.06.2017 16:00","10591","10695"
"13.06.2017 16:00 - 13.06.2017 16:15","10550","10621"
"13.06.2017 16:15 - 13.06.2017 16:30","10544","10678"
"13.06.2017 16:30 - 13.06.2017 16:45","10560","10619"
"13.06.2017 16:45 - 13.06.2017 17:00","10558","10697"
"13.06.2017 17:00 - 13.06.2017 17:15","10540","10700"
"13.06.2017 17:15 - 13.06.2017 17:30","10560","10715"
"13.06.2017 17:30 - 13.06.2017 17:45","10616","10775"
"13.06.2017 17:45 - 13.06.2017 18:00","10650","10825"
"13.06.2017 18:00 - 13.06.2017 18:15","10496","10712"
"13.06.2017 18:15 - 13.06.2017 18:30","10419","10691"
"13.06.2017 18:30 - 13.06.2017 18:45","10398","10675"
"13.06.2017 18:45 - 13.06.2017 19:00","10309","10553"
"13.06.2017 19:00 - 13.06.2017 19:15","10217","10398"
"13.06.2017 19:15 - 13.06.2017 19:30","10152","10305"
"13.06.2017 19:30 - 13.06.2017 19:45","10084","10208"
"13.06.2017 19:45 - 13.06.2017 20:00","10016","10119"
"13.06.2017 20:00 - 13.06.2017 20:15","9930","10024"
"13.06.2017 20:15 - 13.06.2017 20:30","9811","9886"
"13.06.2017 20:30 - 13.06.2017 20:45","9774","9850"
"13.06.2017 20:45 - 13.06.2017 21:00","9637","9685"
"13.06.2017 21:00 - 13.06.2017 21:15","9612","9646"
"13.06.2017 21:15 - 13.06.2017 21:30","9579","9561"
"13.06.2017 21:30 - 13.06.2017 21:45","9548","9479"
"13.06.2017 21:45 - 13.06.2017 22:00","9486","9434"
"13.06.2017 22:00 - 13.06.2017 22:15","9600","9484"
"13.06.2017 22:15 - 13.06.2017 22:30","9748","9663"
"13.06.2017 22:30 - 13.06.2017 22:45","9772","9796"
"13.06.2017 22:45 - 13.06.2017 23:00","9659","9645"
"13.06.2017 23:00 - 13.06.2017 23:15","9568","9483"
"13.06.2017 23:15 - 13.06.2017 23:30","9411","9397"
"13.06.2017 23:30 - 13.06.2017 23:45","9204","9278"
"13.06.2017 23:45 - 14.06.2017 00:00","9035","9186"
"14.06.2017 00:00 - 14.06.2017 00:15","8742","8862"
"14.06.2017 00:15 - 14.06.2017 00:30","8593","8707"
"14.06.2017 00:30 - 14.06.2017 00:45","8502","8590"
"14.06.2017 00:45 - 14.06.2017 01:00","8403","8585"
"14.06.2017 01:00 - 14.06.2017 01:15","8366","8420"
"14.06.2017 01:15 - 14.06.2017 01:30","8277","8353"
"14.06.2017 01:30 - 14.06.2017 01:45","8131","8246"
"14.06.2017 01:45 - 14.06.2017 02:00","8030","8228"
"14.06.2017 02:00 - 14.06.2017 02:15","7872","8150"
"14.06.2017 02:15 - 14.06.2017 02:30","7830","8065"
"14.06.2017 02:30 - 14.06.2017 02:45","7778","8000"
"14.06.2017 02:45 - 14.06.2017 03:00","7754","7985"
"14.06.2017 03:00 - 14.06.2017 03:15","7797","7942"
"14.06.2017 03:15 - 14.06.2017 03:30","7805","7960"
"14.06.2017 03:30 - 14.06.2017 03:45","7796","7899"
"14.06.2017 03:45 - 14.06.2017 04:00","7747","7894"
"14.06.2017 04:00 - 14.06.2017 04:15","7770","8019"
"14.06.2017 04:15 - 14.06.2017 04:30","7825","8013"
"14.06.2017 04:30 - 14.06.2017 04:45","7851","7986"
"14.06.2017 04:45 - 14.06.2017 05:00","7935","7992"
"14.06.2017 05:00 - 14.06.2017 05:15","7971","8101"
"14.06.2017 05:15 - 14.06.2017 05:30","7992","8134"
"14.06.2017 05:30 - 14.06.2017 05:45","7998","8146"
"14.06.2017 05:45 - 14.06.2017 06:00","8120","8224"
"14.06.2017 06:00 - 14.06.2017 06:15","8487","8544"
"14.06.2017 06:15 - 14.06.2017 06:30","8700","8798"
"14.06.2017 06:30 - 14.06.2017 06:45","8944","9062"
"14.06.2017 06:45 - 14.06.2017 07:00","9193","9312"
"14.06.2017 07:00 - 14.06.2017 07:15","9440","9599"
"14.06.2017 07:15 - 14.06.2017 07:30","9702","9841"
"14.06.2017 07:30 - 14.06.2017 07:45","9901","10119"
"14.06.2017 07:45 - 14.06.2017 08:00","10025","10345"
"14.06.2017 08:00 - 14.06.2017 08:15","10100","10407"
"14.06.2017 08:15 - 14.06.2017 08:30","10184","10579"
"14.06.2017 08:30 - 14.06.2017 08:45","10319","10730"
"14.06.2017 08:45 - 14.06.2017 09:00","10385","10830"
"14.06.2017 09:00 - 14.06.2017 09:15","10474","10846"
"14.06.2017 09:15 - 14.06.2017 09:30","10529","10971"
"14.06.2017 09:30 - 14.06.2017 09:45","10571","10989"
"14.06.2017 09:45 - 14.06.2017 10:00","10580","10984"
"14.06.2017 10:00 - 14.06.2017 10:15","10601","10929"
"14.06.2017 10:15 - 14.06.2017 10:30","10595","10967"
"14.06.2017 10:30 - 14.06.2017 10:45","10643","11109"
"14.06.2017 10:45 - 14.06.2017 11:00","10677","11073"
"14.06.2017 11:00 - 14.06.2017 11:15","10863","11034"
"14.06.2017 11:15 - 14.06.2017 11:30","10887","10985"
"14.06.2017 11:30 - 14.06.2017 11:45","10939","11099"
"14.06.2017 11:45 - 14.06.2017 12:00","10953","11170"
"14.06.2017 12:00 - 14.06.2017 12:15","10812","11026"
"14.06.2017 12:15 - 14.06.2017 12:30","10677","10923"
"14.06.2017 12:30 - 14.06.2017 12:45","10686","10865"
"14.06.2017 12:45 - 14.06.2017 13:00","10689","10935"
"14.06.2017 13:00 - 14.06.2017 13:15","10672","11084"
"14.06.2017 13:15 - 14.06.2017 13:30","10639","11044"
"14.06.2017 13:30 - 14.06.2017 13:45","10606","10898"
"14.06.2017 13:45 - 14.06.2017 14:00","10590","10874"
"14.06.2017 14:00 - 14.06.2017 14:15","10453","10787"
"14.06.2017 14:15 - 14.06.2017 14:30","10438","10869"
"14.06.2017 14:30 - 14.06.2017 14:45","10414","10853"
"14.06.2017 14:45 - 14.06.2017 15:00","10441","10875"
"14.06.2017 15:00 - 14.06.2017 15:15","10376","10789"
"14.06.2017 15:15 - 14.06.2017 15:30","10337","10731"
"14.06.2017 15:30 - 14.06.2017 15:45","10316","10784"
"14.06.2017 15:45 - 14.06.2017 16:00","10255","10715"
"14.06.2017 16:00 - 14.06.2017 16:15","10184","10732"
"14.06.2017 16:15 - 14.06.2017 16:30","10181","10663"
"14.06.2017 16:30 - 14.06.2017 16:45","10192","10699"
"14.06.2017 16:45 - 14.06.2017 17:00","10191","10729"
"14.06.2017 17:00 - 14.06.2017 17:15","10174","10759"
"14.06.2017 17:15 - 14.06.2017 17:30","10194","10728"
"14.06.2017 17:30 - 14.06.2017 17:45","10248","10751"
"14.06.2017 17:45 - 14.06.2017 18:00","10280","10898"
"14.06.2017 18:00 - 14.06.2017 18:15","10224","10787"
"14.06.2017 18:15 - 14.06.2017 18:30","10150","10751"
"14.06.2017 18:30 - 14.06.2017 18:45","10130","10646"
"14.06.2017 18:45 - 14.06.2017 19:00","10042","10538"
"14.06.2017 19:00 - 14.06.2017 19:15","9913","10466"
"14.06.2017 19:15 - 14.06.2017 19:30","9848","10369"
"14.06.2017 19:30 - 14.06.2017 19:45","9780","10269"
"14.06.2017 19:45 - 14.06.2017 20:00","9716","10178"
"14.06.2017 20:00 - 14.06.2017 20:15","9700","10100"
"14.06.2017 20:15 - 14.06.2017 20:30","9584","9982"
"14.06.2017 20:30 - 14.06.2017 20:45","9547","10012"
"14.06.2017 20:45 - 14.06.2017 21:00","9411","9794"
"14.06.2017 21:00 - 14.06.2017 21:15","9449","9812"
"14.06.2017 21:15 - 14.06.2017 21:30","9415","9710"
"14.06.2017 21:30 - 14.06.2017 21:45","9383","9661"
"14.06.2017 21:45 - 14.06.2017 22:00","9327","9627"
"14.06.2017 22:00 - 14.06.2017 22:15","9503","9717"
"14.06.2017 22:15 - 14.06.2017 22:30","9648","9870"
"14.06.2017 22:30 - 14.06.2017 22:45","9673","9894"
"14.06.2017 22:45 - 14.06.2017 23:00","9563","9802"
"14.06.2017 23:00 - 14.06.2017 23:15","9461","9654"
"14.06.2017 23:15 - 14.06.2017 23:30","9315","9480"
"14.06.2017 23:30 - 14.06.2017 23:45","9113","9252"
"14.06.2017 23:45 - 15.06.2017 00:00","8943","9075"
"15.06.2017 00:00 - 15.06.2017 00:15","8735","8857"
"15.06.2017 00:15 - 15.06.2017 00:30","8579","8684"
"15.06.2017 00:30 - 15.06.2017 00:45","8489","8615"
"15.06.2017 00:45 - 15.06.2017 01:00","8404","8481"
"15.06.2017 01:00 - 15.06.2017 01:15","8313","8417"
"15.06.2017 01:15 - 15.06.2017 01:30","8228","8409"
"15.06.2017 01:30 - 15.06.2017 01:45","8090","8298"
"15.06.2017 01:45 - 15.06.2017 02:00","7999","8293"
"15.06.2017 02:00 - 15.06.2017 02:15","8045","8093"
"15.06.2017 02:15 - 15.06.2017 02:30","8005","8030"
"15.06.2017 02:30 - 15.06.2017 02:45","7952","8096"
"15.06.2017 02:45 - 15.06.2017 03:00","7917","8019"
"15.06.2017 03:00 - 15.06.2017 03:15","7925","8038"
"15.06.2017 03:15 - 15.06.2017 03:30","7916","8034"
"15.06.2017 03:30 - 15.06.2017 03:45","7923","7978"
"15.06.2017 03:45 - 15.06.2017 04:00","7875","8041"
"15.06.2017 04:00 - 15.06.2017 04:15","7945","8053"
"15.06.2017 04:15 - 15.06.2017 04:30","7989","8089"
"15.06.2017 04:30 - 15.06.2017 04:45","8019","7982"
"15.06.2017 04:45 - 15.06.2017 05:00","8111","8057"
"15.06.2017 05:00 - 15.06.2017 05:15","8155","8077"
"15.06.2017 05:15 - 15.06.2017 05:30","8185","8085"
"15.06.2017 05:30 - 15.06.2017 05:45","8196","8042"
"15.06.2017 05:45 - 15.06.2017 06:00","8332","8224"
"15.06.2017 06:00 - 15.06.2017 06:15","8661","8611"
"15.06.2017 06:15 - 15.06.2017 06:30","8884","8942"
"15.06.2017 06:30 - 15.06.2017 06:45","9133","9141"
"15.06.2017 06:45 - 15.06.2017 07:00","9396","9427"
"15.06.2017 07:00 - 15.06.2017 07:15","9632","9673"
"15.06.2017 07:15 - 15.06.2017 07:30","9897","9962"
"15.06.2017 07:30 - 15.06.2017 07:45","10113","10135"
"15.06.2017 07:45 - 15.06.2017 08:00","10246","10256"
"15.06.2017 08:00 - 15.06.2017 08:15","10390","10510"
"15.06.2017 08:15 - 15.06.2017 08:30","10473","10646"
"15.06.2017 08:30 - 15.06.2017 08:45","10603","10782"
"15.06.2017 08:45 - 15.06.2017 09:00","10685","10948"
"15.06.2017 09:00 - 15.06.2017 09:15","10788","11022"
"15.06.2017 09:15 - 15.06.2017 09:30","10850","11068"
"15.06.2017 09:30 - 15.06.2017 09:45","10892","11125"
"15.06.2017 09:45 - 15.06.2017 10:00","10907","11184"
"15.06.2017 10:00 - 15.06.2017 10:15","10906","11273"
"15.06.2017 10:15 - 15.06.2017 10:30","10903","11294"
"15.06.2017 10:30 - 15.06.2017 10:45","10969","11235"
"15.06.2017 10:45 - 15.06.2017 11:00","11003","11312"
"15.06.2017 11:00 - 15.06.2017 11:15","11030","11368"
"15.06.2017 11:15 - 15.06.2017 11:30","11069","11448"
"15.06.2017 11:30 - 15.06.2017 11:45","11121","11488"
"15.06.2017 11:45 - 15.06.2017 12:00","11148","11423"
"15.06.2017 12:00 - 15.06.2017 12:15","10884","11191"
"15.06.2017 12:15 - 15.06.2017 12:30","10732","11145"
"15.06.2017 12:30 - 15.06.2017 12:45","10750","11151"
"15.06.2017 12:45 - 15.06.2017 13:00","10748","11161"
"15.06.2017 13:00 - 15.06.2017 13:15","10816","11197"
"15.06.2017 13:15 - 15.06.2017 13:30","10804","11133"
"15.06.2017 13:30 - 15.06.2017 13:45","10764","11175"
"15.06.2017 13:45 - 15.06.2017 14:00","10718","11133"
"15.06.2017 14:00 - 15.06.2017 14:15","10695","11116"
"15.06.2017 14:15 - 15.06.2017 14:30","10696","11126"
"15.06.2017 14:30 - 15.06.2017 14:45","10685","11049"
"15.06.2017 14:45 - 15.06.2017 15:00","10713","11137"
"15.06.2017 15:00 - 15.06.2017 15:15","10689","11095"
"15.06.2017 15:15 - 15.06.2017 15:30","10649","11016"
"15.06.2017 15:30 - 15.06.2017 15:45","10627","10925"
"15.06.2017 15:45 - 15.06.2017 16:00","10570","10840"
"15.06.2017 16:00 - 15.06.2017 16:15","10585","10785"
"15.06.2017 16:15 - 15.06.2017 16:30","10588","10742"
"15.06.2017 16:30 - 15.06.2017 16:45","10583","10678"
"15.06.2017 16:45 - 15.06.2017 17:00","10590","10655"
"15.06.2017 17:00 - 15.06.2017 17:15","10628","10725"
"15.06.2017 17:15 - 15.06.2017 17:30","10646","10702"
"15.06.2017 17:30 - 15.06.2017 17:45","10700","10809"
"15.06.2017 17:45 - 15.06.2017 18:00","10740","10813"
"15.06.2017 18:00 - 15.06.2017 18:15","10659","10711"
"15.06.2017 18:15 - 15.06.2017 18:30","10591","10566"
"15.06.2017 18:30 - 15.06.2017 18:45","10569","10511"
"15.06.2017 18:45 - 15.06.2017 19:00","10466","10506"
"15.06.2017 19:00 - 15.06.2017 19:15","10382","10256"
"15.06.2017 19:15 - 15.06.2017 19:30","10311","10227"
"15.06.2017 19:30 - 15.06.2017 19:45","10229","10177"
"15.06.2017 19:45 - 15.06.2017 20:00","10166","10058"
"15.06.2017 20:00 - 15.06.2017 20:15","10120","9971"
"15.06.2017 20:15 - 15.06.2017 20:30","10001","9915"
"15.06.2017 20:30 - 15.06.2017 20:45","9964","9791"
"15.06.2017 20:45 - 15.06.2017 21:00","9823","9616"
"15.06.2017 21:00 - 15.06.2017 21:15","9727","9443"
"15.06.2017 21:15 - 15.06.2017 21:30","9678","9487"
"15.06.2017 21:30 - 15.06.2017 21:45","9634","9434"
"15.06.2017 21:45 - 15.06.2017 22:00","9582","9420"
"15.06.2017 22:00 - 15.06.2017 22:15","9633","9468"
"15.06.2017 22:15 - 15.06.2017 22:30","9796","9488"
"15.06.2017 22:30 - 15.06.2017 22:45","9847","9556"
"15.06.2017 22:45 - 15.06.2017 23:00","9731","9515"
"15.06.2017 23:00 - 15.06.2017 23:15","9604","9454"
"15.06.2017 23:15 - 15.06.2017 23:30","9466","9278"
"15.06.2017 23:30 - 15.06.2017 23:45","9275","9073"
"15.06.2017 23:45 - 16.06.2017 00:00","9114","9027"
"16.06.2017 00:00 - 16.06.2017 00:15","8842","8769"
"16.06.2017 00:15 - 16.06.2017 00:30","8692","8673"
"16.06.2017 00:30 - 16.06.2017 00:45","8609","8657"
"16.06.2017 00:45 - 16.06.2017 01:00","8510","8420"
"16.06.2017 01:00 - 16.06.2017 01:15","8390","8434"
"16.06.2017 01:15 - 16.06.2017 01:30","8319","8425"
"16.06.2017 01:30 - 16.06.2017 01:45","8185","8291"
"16.06.2017 01:45 - 16.06.2017 02:00","8108","8188"
"16.06.2017 02:00 - 16.06.2017 02:15","7976","8109"
"16.06.2017 02:15 - 16.06.2017 02:30","7928","8034"
"16.06.2017 02:30 - 16.06.2017 02:45","7875","8041"
"16.06.2017 02:45 - 16.06.2017 03:00","7846","8044"
"16.06.2017 03:00 - 16.06.2017 03:15","7817","7965"
"16.06.2017 03:15 - 16.06.2017 03:30","7812","8001"
"16.06.2017 03:30 - 16.06.2017 03:45","7806","7930"
"16.06.2017 03:45 - 16.06.2017 04:00","7762","7913"
"16.06.2017 04:00 - 16.06.2017 04:15","7873","7950"
"16.06.2017 04:15 - 16.06.2017 04:30","7904","7981"
"16.06.2017 04:30 - 16.06.2017 04:45","7924","8007"
"16.06.2017 04:45 - 16.06.2017 05:00","7998","8040"
"16.06.2017 05:00 - 16.06.2017 05:15","8130","8068"
"16.06.2017 05:15 - 16.06.2017 05:30","8165","8006"
"16.06.2017 05:30 - 16.06.2017 05:45","8172","8144"
"16.06.2017 05:45 - 16.06.2017 06:00","8294","8284"
"16.06.2017 06:00 - 16.06.2017 06:15","8631","8610"
"16.06.2017 06:15 - 16.06.2017 06:30","8859","8880"
"16.06.2017 06:30 - 16.06.2017 06:45","9109","9034"
"16.06.2017 06:45 - 16.06.2017 07:00","9375","9298"
"16.06.2017 07:00 - 16.06.2017 07:15","9652","9607"
"16.06.2017 07:15 - 16.06.2017 07:30","9910","9846"
"16.06.2017 07:30 - 16.06.2017 07:45","10137","10001"
"16.06.2017 07:45 - 16.06.2017 08:00","10279","10119"
"16.06.2017 08:00 - 16.06.2017 08:15","10441","10319"
"16.06.2017 08:15 - 16.06.2017 08:30","10548","10345"
"16.06.2017 08:30 - 16.06.2017 08:45","10679","10561"
"16.06.2017 08:45 - 16.06.2017 09:00","10763","10606"
"16.06.2017 09:00 - 16.06.2017 09:15","10808","10777"
"16.06.2017 09:15 - 16.06.2017 09:30","10881","10846"
"16.06.2017 09:30 - 16.06.2017 09:45","10927","10830"
"16.06.2017 09:45 - 16.06.2017 10:00","10938","10893"
"16.06.2017 10:00 - 16.06.2017 10:15","10912","10823"
"16.06.2017 10:15 - 16.06.2017 10:30","10921","10816"
"16.06.2017 10:30 - 16.06.2017 10:45","11001","10797"
"16.06.2017 10:45 - 16.06.2017 11:00","11016","10836"
"16.06.2017 11:00 - 16.06.2017 11:15","11027","11001"
"16.06.2017 11:15 - 16.06.2017 11:30","11049","11011"
"16.06.2017 11:30 - 16.06.2017 11:45","11111","11115"
"16.06.2017 11:45 - 16.06.2017 12:00","11146","11150"
"16.06.2017 12:00 - 16.06.2017 12:15","11002","11005"
"16.06.2017 12:15 - 16.06.2017 12:30","10845","10940"
"16.06.2017 12:30 - 16.06.2017 12:45","10846","10863"
"16.06.2017 12:45 - 16.06.2017 13:00","10857","10952"
"16.06.2017 13:00 - 16.06.2017 13:15","10778","10936"
"16.06.2017 13:15 - 16.06.2017 13:30","10760","10897"
"16.06.2017 13:30 - 16.06.2017 13:45","10702","10850"
"16.06.2017 13:45 - 16.06.2017 14:00","10661","10809"
"16.06.2017 14:00 - 16.06.2017 14:15","10568","10709"
"16.06.2017 14:15 - 16.06.2017 14:30","10587","10767"
"16.06.2017 14:30 - 16.06.2017 14:45","10583","10659"
"16.06.2017 14:45 - 16.06.2017 15:00","10614","10553"
"16.06.2017 15:00 - 16.06.2017 15:15","10493","10477"
"16.06.2017 15:15 - 16.06.2017 15:30","10445","10367"
"16.06.2017 15:30 - 16.06.2017 15:45","10434","10328"
"16.06.2017 15:45 - 16.06.2017 16:00","10381","10295"
"16.06.2017 16:00 - 16.06.2017 16:15","10336","10183"
"16.06.2017 16:15 - 16.06.2017 16:30","10327","10193"
"16.06.2017 16:30 - 16.06.2017 16:45","10326","10132"
"16.06.2017 16:45 - 16.06.2017 17:00","10340","10107"
"16.06.2017 17:00 - 16.06.2017 17:15","10299","10195"
"16.06.2017 17:15 - 16.06.2017 17:30","10300","10177"
"16.06.2017 17:30 - 16.06.2017 17:45","10347","10245"
"16.06.2017 17:45 - 16.06.2017 18:00","10405","10244"
"16.06.2017 18:00 - 16.06.2017 18:15","10218","10135"
"16.06.2017 18:15 - 16.06.2017 18:30","10160","10215"
"16.06.2017 18:30 - 16.06.2017 18:45","10123","10089"
"16.06.2017 18:45 - 16.06.2017 19:00","10021","10108"
"16.06.2017 19:00 - 16.06.2017 19:15","9976","9930"
"16.06.2017 19:15 - 16.06.2017 19:30","9907","9781"
"16.06.2017 19:30 - 16.06.2017 19:45","9831","9743"
"16.06.2017 19:45 - 16.06.2017 20:00","9766","9787"
"16.06.2017 20:00 - 16.06.2017 20:15","9718","9690"
"16.06.2017 20:15 - 16.06.2017 20:30","9598","9570"
"16.06.2017 20:30 - 16.06.2017 20:45","9573","9555"
"16.06.2017 20:45 - 16.06.2017 21:00","9422","9421"
"16.06.2017 21:00 - 16.06.2017 21:15","9438","9442"
"16.06.2017 21:15 - 16.06.2017 21:30","9379","9400"
"16.06.2017 21:30 - 16.06.2017 21:45","9333","9375"
"16.06.2017 21:45 - 16.06.2017 22:00","9293","9285"
"16.06.2017 22:00 - 16.06.2017 22:15","9431","9423"
"16.06.2017 22:15 - 16.06.2017 22:30","9589","9481"
"16.06.2017 22:30 - 16.06.2017 22:45","9640","9626"
"16.06.2017 22:45 - 16.06.2017 23:00","9528","9626"
"16.06.2017 23:00 - 16.06.2017 23:15","9452","9509"
"16.06.2017 23:15 - 16.06.2017 23:30","9313","9401"
"16.06.2017 23:30 - 16.06.2017 23:45","9119","9252"
"16.06.2017 23:45 - 17.06.2017 00:00","8957","9069"
"17.06.2017 00:00 - 17.06.2017 00:15","8622","9046"
"17.06.2017 00:15 - 17.06.2017 00:30","8487","8795"
"17.06.2017 00:30 - 17.06.2017 00:45","8413","8636"
"17.06.2017 00:45 - 17.06.2017 01:00","8301","8629"
"17.06.2017 01:00 - 17.06.2017 01:15","8188","8580"
"17.06.2017 01:15 - 17.06.2017 01:30","8135","8498"
"17.06.2017 01:30 - 17.06.2017 01:45","8003","8376"
"17.06.2017 01:45 - 17.06.2017 02:00","7927","8206"
"17.06.2017 02:00 - 17.06.2017 02:15","7815","8229"
"17.06.2017 02:15 - 17.06.2017 02:30","7738","8145"
"17.06.2017 02:30 - 17.06.2017 02:45","7668","7979"
"17.06.2017 02:45 - 17.06.2017 03:00","7621","8011"
"17.06.2017 03:00 - 17.06.2017 03:15","7655","7971"
"17.06.2017 03:15 - 17.06.2017 03:30","7630","7903"
"17.06.2017 03:30 - 17.06.2017 03:45","7564","7873"
"17.06.2017 03:45 - 17.06.2017 04:00","7531","7830"
"17.06.2017 04:00 - 17.06.2017 04:15","7517","7806"
"17.06.2017 04:15 - 17.06.2017 04:30","7481","7828"
"17.06.2017 04:30 - 17.06.2017 04:45","7478","7732"
"17.06.2017 04:45 - 17.06.2017 05:00","7483","7721"
"17.06.2017 05:00 - 17.06.2017 05:15","7337","7746"
"17.06.2017 05:15 - 17.06.2017 05:30","7287","7615"
"17.06.2017 05:30 - 17.06.2017 05:45","7171","7551"
"17.06.2017 05:45 - 17.06.2017 06:00","7171","7480"
"17.06.2017 06:00 - 17.06.2017 06:15","7329","7620"
"17.06.2017 06:15 - 17.06.2017 06:30","7382","7822"
"17.06.2017 06:30 - 17.06.2017 06:45","7510","7835"
"17.06.2017 06:45 - 17.06.2017 07:00","7583","7997"
"17.06.2017 07:00 - 17.06.2017 07:15","7780","8107"
"17.06.2017 07:15 - 17.06.2017 07:30","7908","8209"
"17.06.2017 07:30 - 17.06.2017 07:45","8084","8333"
"17.06.2017 07:45 - 17.06.2017 08:00","8165","8478"
"17.06.2017 08:00 - 17.06.2017 08:15","8439","8661"
"17.06.2017 08:15 - 17.06.2017 08:30","8585","8916"
"17.06.2017 08:30 - 17.06.2017 08:45","8690","8997"
"17.06.2017 08:45 - 17.06.2017 09:00","8853","9179"
"17.06.2017 09:00 - 17.06.2017 09:15","9095","9286"
"17.06.2017 09:15 - 17.06.2017 09:30","9174","9412"
"17.06.2017 09:30 - 17.06.2017 09:45","9248","9483"
"17.06.2017 09:45 - 17.06.2017 10:00","9274","9566"
"17.06.2017 10:00 - 17.06.2017 10:15","9381","9607"
"17.06.2017 10:15 - 17.06.2017 10:30","9426","9582"
"17.06.2017 10:30 - 17.06.2017 10:45","9440","9543"
"17.06.2017 10:45 - 17.06.2017 11:00","9454","9620"
"17.06.2017 11:00 - 17.06.2017 11:15","9548","9668"
"17.06.2017 11:15 - 17.06.2017 11:30","9644","9674"
"17.06.2017 11:30 - 17.06.2017 11:45","9632","9814"
"17.06.2017 11:45 - 17.06.2017 12:00","9633","9834"
"17.06.2017 12:00 - 17.06.2017 12:15","9622","9799"
"17.06.2017 12:15 - 17.06.2017 12:30","9562","9805"
"17.06.2017 12:30 - 17.06.2017 12:45","9508","9745"
"17.06.2017 12:45 - 17.06.2017 13:00","9453","9762"
"17.06.2017 13:00 - 17.06.2017 13:15","9419","9677"
"17.06.2017 13:15 - 17.06.2017 13:30","9370","9721"
"17.06.2017 13:30 - 17.06.2017 13:45","9234","9546"
"17.06.2017 13:45 - 17.06.2017 14:00","9256","9501"
"17.06.2017 14:00 - 17.06.2017 14:15","9157","9381"
"17.06.2017 14:15 - 17.06.2017 14:30","9142","9259"
"17.06.2017 14:30 - 17.06.2017 14:45","9083","9160"
"17.06.2017 14:45 - 17.06.2017 15:00","9010","9215"
"17.06.2017 15:00 - 17.06.2017 15:15","8998","9222"
"17.06.2017 15:15 - 17.06.2017 15:30","8991","9101"
"17.06.2017 15:30 - 17.06.2017 15:45","8961","9154"
"17.06.2017 15:45 - 17.06.2017 16:00","8953","9079"
"17.06.2017 16:00 - 17.06.2017 16:15","8927","9073"
"17.06.2017 16:15 - 17.06.2017 16:30","8948","9117"
"17.06.2017 16:30 - 17.06.2017 16:45","8870","9229"
"17.06.2017 16:45 - 17.06.2017 17:00","8869","9070"
"17.06.2017 17:00 - 17.06.2017 17:15","8897","9162"
"17.06.2017 17:15 - 17.06.2017 17:30","8917","9156"
"17.06.2017 17:30 - 17.06.2017 17:45","8961","9165"
"17.06.2017 17:45 - 17.06.2017 18:00","9023","9258"
"17.06.2017 18:00 - 17.06.2017 18:15","9033","9161"
"17.06.2017 18:15 - 17.06.2017 18:30","8997","9225"
"17.06.2017 18:30 - 17.06.2017 18:45","8972","9128"
"17.06.2017 18:45 - 17.06.2017 19:00","8985","9207"
"17.06.2017 19:00 - 17.06.2017 19:15","8925","9145"
"17.06.2017 19:15 - 17.06.2017 19:30","8862","9104"
"17.06.2017 19:30 - 17.06.2017 19:45","8794","9088"
"17.06.2017 19:45 - 17.06.2017 20:00","8736","9019"
"17.06.2017 20:00 - 17.06.2017 20:15","8699","8973"
"17.06.2017 20:15 - 17.06.2017 20:30","8664","8934"
"17.06.2017 20:30 - 17.06.2017 20:45","8603","8789"
"17.06.2017 20:45 - 17.06.2017 21:00","8596","8757"
"17.06.2017 21:00 - 17.06.2017 21:15","8555","8729"
"17.06.2017 21:15 - 17.06.2017 21:30","8586","8732"
"17.06.2017 21:30 - 17.06.2017 21:45","8601","8649"
"17.06.2017 21:45 - 17.06.2017 22:00","8601","8703"
"17.06.2017 22:00 - 17.06.2017 22:15","8593","8742"
"17.06.2017 22:15 - 17.06.2017 22:30","8650","8777"
"17.06.2017 22:30 - 17.06.2017 22:45","8683","8892"
"17.06.2017 22:45 - 17.06.2017 23:00","8676","8837"
"17.06.2017 23:00 - 17.06.2017 23:15","8644","8817"
"17.06.2017 23:15 - 17.06.2017 23:30","8521","8710"
"17.06.2017 23:30 - 17.06.2017 23:45","8326","8670"
"17.06.2017 23:45 - 18.06.2017 00:00","8230","8508"
"18.06.2017 00:00 - 18.06.2017 00:15","8185","8337"
"18.06.2017 00:15 - 18.06.2017 00:30","8094","8176"
"18.06.2017 00:30 - 18.06.2017 00:45","7956","8164"
"18.06.2017 00:45 - 18.06.2017 01:00","7864","8040"
"18.06.2017 01:00 - 18.06.2017 01:15","7800","8014"
"18.06.2017 01:15 - 18.06.2017 01:30","7719","7841"
"18.06.2017 01:30 - 18.06.2017 01:45","7601","7910"
"18.06.2017 01:45 - 18.06.2017 02:00","7503","7770"
"18.06.2017 02:00 - 18.06.2017 02:15","7522","7694"
"18.06.2017 02:15 - 18.06.2017 02:30","7429","7585"
"18.06.2017 02:30 - 18.06.2017 02:45","7427","7574"
"18.06.2017 02:45 - 18.06.2017 03:00","7372","7555"
"18.06.2017 03:00 - 18.06.2017 03:15","7372","7435"
