"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"02.01.2017 10:15 - 02.01.2017 10:30","11755","10936"
"02.01.2017 10:30 - 02.01.2017 10:45","11780","10948"
"02.01.2017 10:45 - 02.01.2017 11:00","11859","11039"
"02.01.2017 11:00 - 02.01.2017 11:15","11870","11098"
"02.01.2017 11:15 - 02.01.2017 11:30","11908","11160"
"02.01.2017 11:30 - 02.01.2017 11:45","11909","11258"
"02.01.2017 11:45 - 02.01.2017 12:00","11899","11284"
"02.01.2017 12:00 - 02.01.2017 12:15","11826","11302"
"02.01.2017 12:15 - 02.01.2017 12:30","11646","11273"
"02.01.2017 12:30 - 02.01.2017 12:45","11633","11303"
"02.01.2017 12:45 - 02.01.2017 13:00","11526","11186"
"02.01.2017 13:00 - 02.01.2017 13:15","11787","11145"
"02.01.2017 13:15 - 02.01.2017 13:30","11691","11093"
"02.01.2017 13:30 - 02.01.2017 13:45","11668","10991"
"02.01.2017 13:45 - 02.01.2017 14:00","11580","10994"
"02.01.2017 14:00 - 02.01.2017 14:15","11598","10915"
"02.01.2017 14:15 - 02.01.2017 14:30","11615","10854"
"02.01.2017 14:30 - 02.01.2017 14:45","11612","10814"
"02.01.2017 14:45 - 02.01.2017 15:00","11643","10737"
"02.01.2017 15:00 - 02.01.2017 15:15","11617","10756"
"02.01.2017 15:15 - 02.01.2017 15:30","11606","10842"
"02.01.2017 15:30 - 02.01.2017 15:45","11638","10916"
"02.01.2017 15:45 - 02.01.2017 16:00","11670","10877"
"02.01.2017 16:00 - 02.01.2017 16:15","11718","11012"
"02.01.2017 16:15 - 02.01.2017 16:30","11795","10967"
"02.01.2017 16:30 - 02.01.2017 16:45","11928","11039"
"02.01.2017 16:45 - 02.01.2017 17:00","12154","11206"
"02.01.2017 17:00 - 02.01.2017 17:15","12274","11579"
"02.01.2017 17:15 - 02.01.2017 17:30","12378","11716"
"02.01.2017 17:30 - 02.01.2017 17:45","12600","11976"
"02.01.2017 17:45 - 02.01.2017 18:00","12628","12022"
"02.01.2017 18:00 - 02.01.2017 18:15","12447","11962"
"02.01.2017 18:15 - 02.01.2017 18:30","12485","11955"
"02.01.2017 18:30 - 02.01.2017 18:45","12365","11941"
"02.01.2017 18:45 - 02.01.2017 19:00","12283","11865"
"02.01.2017 19:00 - 02.01.2017 19:15","12148","11824"
"02.01.2017 19:15 - 02.01.2017 19:30","11951","11616"
"02.01.2017 19:30 - 02.01.2017 19:45","11790","11515"
"02.01.2017 19:45 - 02.01.2017 20:00","11716","11391"
"02.01.2017 20:00 - 02.01.2017 20:15","11562","11257"
"02.01.2017 20:15 - 02.01.2017 20:30","11417","10971"
"02.01.2017 20:30 - 02.01.2017 20:45","11235","10927"
"02.01.2017 20:45 - 02.01.2017 21:00","11067","10762"
"02.01.2017 21:00 - 02.01.2017 21:15","10840","10694"
"02.01.2017 21:15 - 02.01.2017 21:30","10724","10547"
"02.01.2017 21:30 - 02.01.2017 21:45","10586","10498"
"02.01.2017 21:45 - 02.01.2017 22:00","10556","10469"
"02.01.2017 22:00 - 02.01.2017 22:15","10630","10685"
"02.01.2017 22:15 - 02.01.2017 22:30","10788","10792"
"02.01.2017 22:30 - 02.01.2017 22:45","10796","10895"
"02.01.2017 22:45 - 02.01.2017 23:00","10782","10859"
"02.01.2017 23:00 - 02.01.2017 23:15","10796","10957"
"02.01.2017 23:15 - 02.01.2017 23:30","10740","10868"
"02.01.2017 23:30 - 02.01.2017 23:45","10558","10746"
"02.01.2017 23:45 - 03.01.2017 00:00","10372","10681"
"03.01.2017 00:00 - 03.01.2017 00:15","10776","10469"
"03.01.2017 00:15 - 03.01.2017 00:30","10598","10286"
"03.01.2017 00:30 - 03.01.2017 00:45","10506","10226"
"03.01.2017 00:45 - 03.01.2017 01:00","10256","10100"
"03.01.2017 01:00 - 03.01.2017 01:15","10718","9966"
"03.01.2017 01:15 - 03.01.2017 01:30","10538","9834"
"03.01.2017 01:30 - 03.01.2017 01:45","10383","9675"
"03.01.2017 01:45 - 03.01.2017 02:00","10269","9634"
"03.01.2017 02:00 - 03.01.2017 02:15","10267","9487"
"03.01.2017 02:15 - 03.01.2017 02:30","10188","9434"
"03.01.2017 02:30 - 03.01.2017 02:45","10115","9426"
"03.01.2017 02:45 - 03.01.2017 03:00","10035","9310"
"03.01.2017 03:00 - 03.01.2017 03:15","10044","9213"
"03.01.2017 03:15 - 03.01.2017 03:30","9996","9241"
"03.01.2017 03:30 - 03.01.2017 03:45","9967","9209"
"03.01.2017 03:45 - 03.01.2017 04:00","9931","9095"
"03.01.2017 04:00 - 03.01.2017 04:15","10011","9124"
"03.01.2017 04:15 - 03.01.2017 04:30","10011","9096"
"03.01.2017 04:30 - 03.01.2017 04:45","10032","9170"
"03.01.2017 04:45 - 03.01.2017 05:00","10072","9123"
"03.01.2017 05:00 - 03.01.2017 05:15","10312","9342"
"03.01.2017 05:15 - 03.01.2017 05:30","10376","9353"
"03.01.2017 05:30 - 03.01.2017 05:45","10496","9442"
"03.01.2017 05:45 - 03.01.2017 06:00","10658","9723"
"03.01.2017 06:00 - 03.01.2017 06:15","11323","10028"
"03.01.2017 06:15 - 03.01.2017 06:30","11522","10261"
"03.01.2017 06:30 - 03.01.2017 06:45","11708","10395"
"03.01.2017 06:45 - 03.01.2017 07:00","11938","10691"
"03.01.2017 07:00 - 03.01.2017 07:15","12250","10742"
"03.01.2017 07:15 - 03.01.2017 07:30","12471","10966"
"03.01.2017 07:30 - 03.01.2017 07:45","12701","10994"
"03.01.2017 07:45 - 03.01.2017 08:00","12908","11276"
"03.01.2017 08:00 - 03.01.2017 08:15","12722","11579"
"03.01.2017 08:15 - 03.01.2017 08:30","12905","11833"
"03.01.2017 08:30 - 03.01.2017 08:45","12939","11794"
"03.01.2017 08:45 - 03.01.2017 09:00","12914","11836"
"03.01.2017 09:00 - 03.01.2017 09:15","12843","11884"
"03.01.2017 09:15 - 03.01.2017 09:30","12883","11946"
"03.01.2017 09:30 - 03.01.2017 09:45","12930","12069"
"03.01.2017 09:45 - 03.01.2017 10:00","12962","12086"
"03.01.2017 10:00 - 03.01.2017 10:15","12922","12176"
"03.01.2017 10:15 - 03.01.2017 10:30","12912","12050"
"03.01.2017 10:30 - 03.01.2017 10:45","12885","12112"
"03.01.2017 10:45 - 03.01.2017 11:00","12899","12193"
"03.01.2017 11:00 - 03.01.2017 11:15","12896","12284"
"03.01.2017 11:15 - 03.01.2017 11:30","12913","12244"
"03.01.2017 11:30 - 03.01.2017 11:45","12978","12341"
"03.01.2017 11:45 - 03.01.2017 12:00","12982","12382"
"03.01.2017 12:00 - 03.01.2017 12:15","12739","12203"
"03.01.2017 12:15 - 03.01.2017 12:30","12658","11980"
"03.01.2017 12:30 - 03.01.2017 12:45","12629","12121"
"03.01.2017 12:45 - 03.01.2017 13:00","12581","11968"
"03.01.2017 13:00 - 03.01.2017 13:15","12735","12091"
"03.01.2017 13:15 - 03.01.2017 13:30","12670","11945"
"03.01.2017 13:30 - 03.01.2017 13:45","12651","11994"
"03.01.2017 13:45 - 03.01.2017 14:00","12587","12185"
"03.01.2017 14:00 - 03.01.2017 14:15","12571","12013"
"03.01.2017 14:15 - 03.01.2017 14:30","12542","12039"
"03.01.2017 14:30 - 03.01.2017 14:45","12515","11947"
"03.01.2017 14:45 - 03.01.2017 15:00","12515","12078"
"03.01.2017 15:00 - 03.01.2017 15:15","12559","12219"
"03.01.2017 15:15 - 03.01.2017 15:30","12530","12079"
"03.01.2017 15:30 - 03.01.2017 15:45","12547","12048"
"03.01.2017 15:45 - 03.01.2017 16:00","12572","12175"
"03.01.2017 16:00 - 03.01.2017 16:15","12590","12175"
"03.01.2017 16:15 - 03.01.2017 16:30","12668","12030"
"03.01.2017 16:30 - 03.01.2017 16:45","12783","12114"
"03.01.2017 16:45 - 03.01.2017 17:00","13021","12268"
"03.01.2017 17:00 - 03.01.2017 17:15","13044","12514"
"03.01.2017 17:15 - 03.01.2017 17:30","13223","12627"
"03.01.2017 17:30 - 03.01.2017 17:45","13359","12895"
"03.01.2017 17:45 - 03.01.2017 18:00","13438","12965"
"03.01.2017 18:00 - 03.01.2017 18:15","13373","12896"
"03.01.2017 18:15 - 03.01.2017 18:30","13311","12669"
"03.01.2017 18:30 - 03.01.2017 18:45","13241","12564"
"03.01.2017 18:45 - 03.01.2017 19:00","13138","12519"
"03.01.2017 19:00 - 03.01.2017 19:15","12966","12435"
"03.01.2017 19:15 - 03.01.2017 19:30","12803","12213"
"03.01.2017 19:30 - 03.01.2017 19:45","12633","12095"
"03.01.2017 19:45 - 03.01.2017 20:00","12514","11956"
"03.01.2017 20:00 - 03.01.2017 20:15","12440","11743"
"03.01.2017 20:15 - 03.01.2017 20:30","12255","11719"
"03.01.2017 20:30 - 03.01.2017 20:45","12099","11511"
"03.01.2017 20:45 - 03.01.2017 21:00","11960","11425"
"03.01.2017 21:00 - 03.01.2017 21:15","11754","11154"
"03.01.2017 21:15 - 03.01.2017 21:30","11643","11012"
"03.01.2017 21:30 - 03.01.2017 21:45","11516","10948"
"03.01.2017 21:45 - 03.01.2017 22:00","11436","10832"
"03.01.2017 22:00 - 03.01.2017 22:15","11527","10980"
"03.01.2017 22:15 - 03.01.2017 22:30","11717","11200"
"03.01.2017 22:30 - 03.01.2017 22:45","11757","11369"
"03.01.2017 22:45 - 03.01.2017 23:00","11719","11215"
"03.01.2017 23:00 - 03.01.2017 23:15","11724","11311"
"03.01.2017 23:15 - 03.01.2017 23:30","11620","11134"
"03.01.2017 23:30 - 03.01.2017 23:45","11450","11004"
"03.01.2017 23:45 - 04.01.2017 00:00","11293","10808"
"04.01.2017 00:00 - 04.01.2017 00:15","10339","10733"
"04.01.2017 00:15 - 04.01.2017 00:30","10196","10480"
"04.01.2017 00:30 - 04.01.2017 00:45","10083","10431"
"04.01.2017 00:45 - 04.01.2017 01:00","9939","10285"
"04.01.2017 01:00 - 04.01.2017 01:15","9764","10204"
"04.01.2017 01:15 - 04.01.2017 01:30","9600","10099"
"04.01.2017 01:30 - 04.01.2017 01:45","9456","10028"
"04.01.2017 01:45 - 04.01.2017 02:00","9347","9822"
"04.01.2017 02:00 - 04.01.2017 02:15","9392","9684"
"04.01.2017 02:15 - 04.01.2017 02:30","9319","9619"
"04.01.2017 02:30 - 04.01.2017 02:45","9243","9534"
"04.01.2017 02:45 - 04.01.2017 03:00","9154","9469"
"04.01.2017 03:00 - 04.01.2017 03:15","9222","9455"
"04.01.2017 03:15 - 04.01.2017 03:30","9179","9385"
"04.01.2017 03:30 - 04.01.2017 03:45","9153","9328"
"04.01.2017 03:45 - 04.01.2017 04:00","9119","9223"
"04.01.2017 04:00 - 04.01.2017 04:15","9196","9191"
"04.01.2017 04:15 - 04.01.2017 04:30","9196","9213"
"04.01.2017 04:30 - 04.01.2017 04:45","9214","9191"
"04.01.2017 04:45 - 04.01.2017 05:00","9250","9271"
"04.01.2017 05:00 - 04.01.2017 05:15","9472","9453"
"04.01.2017 05:15 - 04.01.2017 05:30","9542","9500"
"04.01.2017 05:30 - 04.01.2017 05:45","9656","9634"
"04.01.2017 05:45 - 04.01.2017 06:00","9802","9866"
"04.01.2017 06:00 - 04.01.2017 06:15","10366","9984"
"04.01.2017 06:15 - 04.01.2017 06:30","10572","10258"
"04.01.2017 06:30 - 04.01.2017 06:45","10742","10526"
"04.01.2017 06:45 - 04.01.2017 07:00","10949","10731"
"04.01.2017 07:00 - 04.01.2017 07:15","11203","10800"
"04.01.2017 07:15 - 04.01.2017 07:30","11399","10907"
"04.01.2017 07:30 - 04.01.2017 07:45","11608","11124"
"04.01.2017 07:45 - 04.01.2017 08:00","11791","11256"
"04.01.2017 08:00 - 04.01.2017 08:15","11688","11633"
"04.01.2017 08:15 - 04.01.2017 08:30","11867","11720"
"04.01.2017 08:30 - 04.01.2017 08:45","11904","11843"
"04.01.2017 08:45 - 04.01.2017 09:00","11883","11865"
"04.01.2017 09:00 - 04.01.2017 09:15","11790","11845"
"04.01.2017 09:15 - 04.01.2017 09:30","11826","12050"
"04.01.2017 09:30 - 04.01.2017 09:45","11865","12122"
"04.01.2017 09:45 - 04.01.2017 10:00","11891","12263"
"04.01.2017 10:00 - 04.01.2017 10:15","11844","12327"
"04.01.2017 10:15 - 04.01.2017 10:30","11831","12265"
"04.01.2017 10:30 - 04.01.2017 10:45","11801","12275"
"04.01.2017 10:45 - 04.01.2017 11:00","11808","12288"
"04.01.2017 11:00 - 04.01.2017 11:15","11802","12333"
"04.01.2017 11:15 - 04.01.2017 11:30","11809","12408"
"04.01.2017 11:30 - 04.01.2017 11:45","11876","12551"
"04.01.2017 11:45 - 04.01.2017 12:00","11880","12506"
"04.01.2017 12:00 - 04.01.2017 12:15","11781","12394"
"04.01.2017 12:15 - 04.01.2017 12:30","11693","12238"
"04.01.2017 12:30 - 04.01.2017 12:45","11672","12354"
"04.01.2017 12:45 - 04.01.2017 13:00","11627","12163"
"04.01.2017 13:00 - 04.01.2017 13:15","11729","12002"
"04.01.2017 13:15 - 04.01.2017 13:30","11666","11983"
"04.01.2017 13:30 - 04.01.2017 13:45","11654","12018"
"04.01.2017 13:45 - 04.01.2017 14:00","11588","11912"
"04.01.2017 14:00 - 04.01.2017 14:15","11549","11856"
"04.01.2017 14:15 - 04.01.2017 14:30","11526","11827"
"04.01.2017 14:30 - 04.01.2017 14:45","11503","11979"
"04.01.2017 14:45 - 04.01.2017 15:00","11500","11671"
"04.01.2017 15:00 - 04.01.2017 15:15","11626","11767"
"04.01.2017 15:15 - 04.01.2017 15:30","11613","11786"
"04.01.2017 15:30 - 04.01.2017 15:45","11629","11755"
"04.01.2017 15:45 - 04.01.2017 16:00","11659","11750"
"04.01.2017 16:00 - 04.01.2017 16:15","11662","11706"
"04.01.2017 16:15 - 04.01.2017 16:30","11736","11784"
"04.01.2017 16:30 - 04.01.2017 16:45","11840","11754"
"04.01.2017 16:45 - 04.01.2017 17:00","12059","11975"
"04.01.2017 17:00 - 04.01.2017 17:15","12312","12099"
"04.01.2017 17:15 - 04.01.2017 17:30","12482","12368"
"04.01.2017 17:30 - 04.01.2017 17:45","12609","12540"
"04.01.2017 17:45 - 04.01.2017 18:00","12683","12746"
"04.01.2017 18:00 - 04.01.2017 18:15","12552","12648"
"04.01.2017 18:15 - 04.01.2017 18:30","12494","12696"
"04.01.2017 18:30 - 04.01.2017 18:45","12429","12661"
"04.01.2017 18:45 - 04.01.2017 19:00","12335","12555"
"04.01.2017 19:00 - 04.01.2017 19:15","12167","12447"
"04.01.2017 19:15 - 04.01.2017 19:30","12015","12317"
"04.01.2017 19:30 - 04.01.2017 19:45","11855","12116"
"04.01.2017 19:45 - 04.01.2017 20:00","11744","11970"
"04.01.2017 20:00 - 04.01.2017 20:15","11641","11895"
"04.01.2017 20:15 - 04.01.2017 20:30","11465","11695"
"04.01.2017 20:30 - 04.01.2017 20:45","11316","11485"
"04.01.2017 20:45 - 04.01.2017 21:00","11185","11423"
"04.01.2017 21:00 - 04.01.2017 21:15","11048","11264"
"04.01.2017 21:15 - 04.01.2017 21:30","10938","11335"
"04.01.2017 21:30 - 04.01.2017 21:45","10812","11102"
"04.01.2017 21:45 - 04.01.2017 22:00","10729","11085"
"04.01.2017 22:00 - 04.01.2017 22:15","10776","11251"
"04.01.2017 22:15 - 04.01.2017 22:30","10956","11442"
"04.01.2017 22:30 - 04.01.2017 22:45","11006","11527"
"04.01.2017 22:45 - 04.01.2017 23:00","10966","11478"
"04.01.2017 23:00 - 04.01.2017 23:15","10937","11631"
"04.01.2017 23:15 - 04.01.2017 23:30","10833","11431"
"04.01.2017 23:30 - 04.01.2017 23:45","10679","11268"
"04.01.2017 23:45 - 05.01.2017 00:00","10521","11017"
"05.01.2017 00:00 - 05.01.2017 00:15","10484","10944"
"05.01.2017 00:15 - 05.01.2017 00:30","10330","10864"
"05.01.2017 00:30 - 05.01.2017 00:45","10227","10757"
"05.01.2017 00:45 - 05.01.2017 01:00","10082","10680"
"05.01.2017 01:00 - 05.01.2017 01:15","9837","10591"
"05.01.2017 01:15 - 05.01.2017 01:30","9685","10355"
"05.01.2017 01:30 - 05.01.2017 01:45","9539","10267"
"05.01.2017 01:45 - 05.01.2017 02:00","9437","10091"
"05.01.2017 02:00 - 05.01.2017 02:15","9332","9994"
"05.01.2017 02:15 - 05.01.2017 02:30","9263","9933"
"05.01.2017 02:30 - 05.01.2017 02:45","9192","9880"
"05.01.2017 02:45 - 05.01.2017 03:00","9101","9815"
"05.01.2017 03:00 - 05.01.2017 03:15","9011","9702"
"05.01.2017 03:15 - 05.01.2017 03:30","8985","9666"
"05.01.2017 03:30 - 05.01.2017 03:45","8960","9660"
"05.01.2017 03:45 - 05.01.2017 04:00","8911","9611"
"05.01.2017 04:00 - 05.01.2017 04:15","8903","9616"
"05.01.2017 04:15 - 05.01.2017 04:30","8894","9521"
"05.01.2017 04:30 - 05.01.2017 04:45","8915","9579"
"05.01.2017 04:45 - 05.01.2017 05:00","8931","9709"
"05.01.2017 05:00 - 05.01.2017 05:15","8975","9872"
"05.01.2017 05:15 - 05.01.2017 05:30","9022","9934"
"05.01.2017 05:30 - 05.01.2017 05:45","9127","9968"
"05.01.2017 05:45 - 05.01.2017 06:00","9286","10224"
"05.01.2017 06:00 - 05.01.2017 06:15","9440","10453"
"05.01.2017 06:15 - 05.01.2017 06:30","9623","10640"
"05.01.2017 06:30 - 05.01.2017 06:45","9769","10831"
"05.01.2017 06:45 - 05.01.2017 07:00","9955","10988"
"05.01.2017 07:00 - 05.01.2017 07:15","10410","11188"
"05.01.2017 07:15 - 05.01.2017 07:30","10592","11237"
"05.01.2017 07:30 - 05.01.2017 07:45","10760","11475"
"05.01.2017 07:45 - 05.01.2017 08:00","10944","11536"
"05.01.2017 08:00 - 05.01.2017 08:15","10866","11776"
"05.01.2017 08:15 - 05.01.2017 08:30","11047","12106"
"05.01.2017 08:30 - 05.01.2017 08:45","11080","12101"
"05.01.2017 08:45 - 05.01.2017 09:00","11073","12211"
"05.01.2017 09:00 - 05.01.2017 09:15","11181","12176"
"05.01.2017 09:15 - 05.01.2017 09:30","11218","12287"
"05.01.2017 09:30 - 05.01.2017 09:45","11286","12386"
"05.01.2017 09:45 - 05.01.2017 10:00","11312","12407"
"05.01.2017 10:00 - 05.01.2017 10:15","11459","12310"
"05.01.2017 10:15 - 05.01.2017 10:30","11429","12273"
"05.01.2017 10:30 - 05.01.2017 10:45","11405","12221"
"05.01.2017 10:45 - 05.01.2017 11:00","11431","12225"
"05.01.2017 11:00 - 05.01.2017 11:15","11626","12420"
"05.01.2017 11:15 - 05.01.2017 11:30","11633","12337"
"05.01.2017 11:30 - 05.01.2017 11:45","11716","12475"
"05.01.2017 11:45 - 05.01.2017 12:00","11730","12391"
