;Bid;WeekAheadConfidence10;WeekAheadConfidence90;WeekAheadForecast;DayAheadConfidence10;DayAheadConfidence90;DayAheadForecast;MostRecentConfidence10;MostRecentConfidence90;MostRecentForecast;Realtime;LoadFactor;MonitoredCapacity
2017-06-22 18:00:00+02:00;;9.64;682.24;345.05;579.43;923.39;751.02;726.31;1008.55;858.93;847.54;0.81;1044.71
2017-06-22 18:15:00+02:00;;13.2;693.39;352.59;562.83;928.21;745.27;707.21;1014.98;855.61;855.92;0.82;1044.71
2017-06-22 18:30:00+02:00;;16.76;704.53;360.14;546.23;933.02;739.52;688.1;1021.41;852.29;831.69;0.8;1044.71
2017-06-22 18:45:00+02:00;;20.32;715.68;367.69;529.63;937.84;733.76;669.0;1027.85;848.97;760.22;0.73;1044.71
2017-06-22 19:00:00+02:00;;23.72;725.95;374.62;507.82;943.16;725.83;638.88;1026.63;834.55;727.17;0.7;1044.71
2017-06-22 19:15:00+02:00;;26.98;735.35;380.95;480.8;948.96;715.72;597.72;1017.76;809.03;668.88;0.64;1044.71
2017-06-22 19:30:00+02:00;;30.23;744.76;387.28;453.79;954.77;705.61;556.56;1008.9;783.5;598.39;0.57;1044.71
2017-06-22 19:45:00+02:00;;33.48;754.16;393.61;426.77;960.57;695.5;515.41;1000.03;757.98;534.1;0.51;1044.71
2017-06-22 20:00:00+02:00;;36.25;762.16;399.02;395.98;935.96;668.51;461.39;959.37;709.78;461.36;0.44;1044.71
2017-06-22 20:15:00+02:00;;38.56;768.77;403.51;361.41;880.94;624.64;394.52;886.9;638.91;406.23;0.39;1044.71
2017-06-22 20:30:00+02:00;;40.86;775.38;407.99;326.84;825.92;580.77;327.65;814.44;568.04;390.18;0.37;1044.71
2017-06-22 20:45:00+02:00;;43.16;781.99;412.48;292.27;770.9;536.9;260.78;741.98;497.17;320.7;0.31;1044.71
2017-06-22 21:00:00+02:00;;44.97;787.24;416.03;258.62;712.6;492.02;136.86;565.57;314.56;261.54;0.25;1044.71
2017-06-22 21:15:00+02:00;;46.27;791.12;418.64;225.86;651.02;446.11;133.98;527.46;298.84;240.59;0.23;1044.71
2017-06-22 21:30:00+02:00;;47.57;795.01;421.26;193.11;589.45;400.2;131.12;489.36;283.13;209.52;0.2;1044.71
2017-06-22 21:45:00+02:00;;48.87;798.9;423.87;160.36;527.87;354.29;128.24;451.26;267.41;151.89;0.15;1044.71
2017-06-22 22:00:00+02:00;;49.77;801.65;425.71;137.44;480.47;318.62;117.26;413.3;246.16;138.57;0.13;1044.71
2017-06-22 22:15:00+02:00;;50.27;803.28;426.77;124.36;447.23;293.17;98.17;375.48;219.4;148.16;0.14;1044.71
2017-06-22 22:30:00+02:00;;50.77;804.9;427.83;111.28;413.99;267.72;79.08;337.67;192.63;146.29;0.14;1044.71
2017-06-22 22:45:00+02:00;;51.27;806.53;428.9;98.2;380.75;242.27;59.98;299.85;165.87;130.27;0.12;1044.71
2017-06-22 23:00:00+02:00;;51.43;807.28;429.35;87.16;353.36;221.74;50.77;273.72;149.44;129.07;0.12;1044.71
2017-06-22 23:15:00+02:00;;51.25;807.15;429.19;78.18;331.81;206.13;51.44;259.28;143.35;130.83;0.13;1044.71
2017-06-22 23:30:00+02:00;;51.07;807.01;429.04;69.2;310.27;190.51;52.11;244.83;137.26;162.13;0.16;1044.71
2017-06-22 23:45:00+02:00;;50.89;806.88;428.88;60.21;288.72;174.9;52.77;230.39;131.18;183.01;0.18;1044.71
2017-06-23 00:00:00+02:00;;75.67;589.37;332.52;22.31;232.7;123.04;51.73;222.49;127.4;195.99;0.19;1044.71
2017-06-23 00:15:00+02:00;;76.3;594.63;335.47;17.71;230.79;118.2;48.98;221.14;125.93;195.05;0.19;1044.71
2017-06-23 00:30:00+02:00;;76.92;599.9;338.41;13.11;228.87;113.37;46.22;219.78;124.46;215.62;0.21;1044.71
2017-06-23 00:45:00+02:00;;77.54;605.16;341.35;8.51;226.96;108.53;43.47;218.43;122.99;247.12;0.24;1044.71
2017-06-23 01:00:00+02:00;;77.64;609.29;343.47;5.71;226.75;105.42;38.07;215.6;118.8;256.63;0.25;1044.71
2017-06-23 01:15:00+02:00;;77.21;612.27;344.74;4.71;228.24;104.03;30.03;211.3;111.89;256.12;0.25;1044.71
2017-06-23 01:30:00+02:00;;76.78;615.26;346.02;3.71;229.73;102.63;21.98;207.0;104.98;219.39;0.21;1044.71
2017-06-23 01:45:00+02:00;;76.35;618.25;347.29;2.71;231.22;101.25;13.94;202.7;98.07;152.96;0.15;1044.71
2017-06-23 02:00:00+02:00;;75.31;619.94;347.63;2.14;230.02;99.21;11.83;198.29;94.9;104.29;0.1;1044.71
2017-06-23 02:15:00+02:00;;73.68;620.36;347.02;2.01;226.13;96.53;15.64;193.76;95.47;87.97;0.08;1044.71
2017-06-23 02:30:00+02:00;;72.05;620.77;346.41;1.88;222.23;93.85;19.46;189.23;96.04;85.67;0.08;1044.71
2017-06-23 02:45:00+02:00;;70.42;621.19;345.8;1.76;218.34;91.17;23.27;184.7;96.61;90.34;0.09;1044.71
2017-06-23 03:00:00+02:00;;68.26;620.54;344.4;1.65;215.6;89.45;25.27;179.02;96.48;107.61;0.1;1044.71
2017-06-23 03:15:00+02:00;;65.59;618.84;342.21;1.58;213.99;88.67;25.46;172.2;95.67;143.25;0.14;1044.71
2017-06-23 03:30:00+02:00;;62.91;617.14;340.03;1.51;212.39;87.89;25.65;165.38;94.86;158.09;0.15;1044.71
2017-06-23 03:45:00+02:00;;60.24;615.44;337.84;1.44;210.78;87.11;25.84;158.56;94.05;159.88;0.15;1044.71
2017-06-23 04:00:00+02:00;;57.2;612.97;335.08;1.42;207.9;86.35;26.15;153.46;93.89;160.86;0.15;1044.71
2017-06-23 04:15:00+02:00;;53.79;609.75;331.77;1.45;203.73;85.61;26.57;150.08;94.4;165.13;0.16;1044.71
2017-06-23 04:30:00+02:00;;50.37;606.52;328.45;1.49;199.57;84.87;26.99;146.7;94.9;166.1;0.16;1044.71
2017-06-23 04:45:00+02:00;;46.97;603.3;325.13;1.52;195.41;84.12;27.41;143.33;95.41;161.14;0.15;1044.71
2017-06-23 05:00:00+02:00;;43.34;599.61;321.48;1.44;190.46;82.68;27.37;140.53;95.07;151.44;0.14;1044.71
2017-06-23 05:15:00+02:00;;39.51;595.47;317.49;1.25;184.72;80.52;26.89;138.29;93.9;139.33;0.13;1044.71
2017-06-23 05:30:00+02:00;;35.68;591.33;313.5;1.06;178.98;78.36;26.4;136.05;92.72;128.5;0.12;1044.71
2017-06-23 05:45:00+02:00;;31.84;587.19;309.52;0.86;173.24;76.21;25.92;133.81;91.54;110.52;0.11;1044.71
2017-06-23 06:00:00+02:00;;27.96;582.9;305.42;0.74;164.79;73.0;63.51;202.02;136.26;113.46;0.11;1044.71
2017-06-23 06:15:00+02:00;;24.03;578.46;301.23;0.69;153.65;68.73;66.65;209.53;140.92;129.43;0.12;1044.71
2017-06-23 06:30:00+02:00;;20.09;574.02;297.04;0.63;142.5;64.47;69.79;217.04;145.58;153.66;0.15;1044.71
2017-06-23 06:45:00+02:00;;16.16;569.59;292.85;0.58;131.35;60.2;72.93;224.55;150.24;161.22;0.15;1044.71
2017-06-23 07:00:00+02:00;;12.98;565.33;288.78;0.64;122.4;56.62;75.22;230.28;153.77;134.18;0.13;1044.71
2017-06-23 07:15:00+02:00;;10.59;561.24;284.85;0.83;115.63;53.71;76.67;234.22;156.18;117.87;0.11;1044.71
2017-06-23 07:30:00+02:00;;8.18;557.14;280.92;1.02;108.86;50.81;78.12;238.17;158.58;109.95;0.11;1044.71
2017-06-23 07:45:00+02:00;;5.79;553.05;276.99;1.2;102.1;47.9;79.57;242.11;160.99;108.8;0.1;1044.71
2017-06-23 08:00:00+02:00;;4.12;549.42;273.41;1.84;101.52;48.38;79.6;244.5;162.05;115.07;0.11;1044.71
2017-06-23 08:15:00+02:00;;3.2;546.24;270.16;2.94;107.15;52.24;78.21;245.33;161.77;134.18;0.13;1044.71
2017-06-23 08:30:00+02:00;;2.28;543.06;266.91;4.03;112.76;56.1;76.83;246.16;161.49;134.48;0.13;1044.71
2017-06-23 08:45:00+02:00;;1.36;539.88;263.66;5.12;118.39;59.96;75.44;246.99;161.21;122.38;0.12;1044.71
2017-06-23 09:00:00+02:00;;0.88;537.31;260.84;6.01;130.5;66.83;74.24;261.09;167.4;110.56;0.11;1044.71
2017-06-23 09:15:00+02:00;;0.83;535.33;258.44;6.68;149.1;76.69;73.22;288.46;180.06;132.54;0.13;1044.71
2017-06-23 09:30:00+02:00;;0.79;533.36;256.06;7.36;167.7;86.56;72.21;315.83;192.72;203.54;0.19;1044.71
2017-06-23 09:45:00+02:00;;0.75;531.38;253.66;8.03;186.31;96.43;71.19;343.2;205.38;255.61;0.24;1044.71
2017-06-23 10:00:00+02:00;;0.72;530.1;251.76;9.38;210.89;109.02;77.28;384.02;228.83;288.13;0.28;1044.71
2017-06-23 10:15:00+02:00;;0.71;529.51;250.33;11.41;241.45;124.34;90.48;438.28;263.08;290.22;0.28;1044.71
