data_interpolated_PV_LF;corr_data_interpolated_PV_LF_data_interpolated_Wind_LF;corr_data_interpolated_PV_LF_data_interpolated_load;corr_data_interpolated_Wind_LF_data_interpolated_load;data_interpolated_Wind_LF;data_interpolated_load
3.75;0.22604834517194577;-0.13572917619262803;-0.054392806136367704;0.26;11497.0
0.16;0.5224740570205743;-0.19993226926693977;-0.08211294905766488;0.21;11467.0
0.0;0.753127883985722;-0.24698514901444477;-0.14195961680216468;0.15;11801.0
0.0;0.6416910421270412;-0.29158869684049565;-0.14279793013265346;0.18;12139.0
0.0;0.49310858631546656;-0.21029939074331414;-0.07914178294189719;0.22;11523.0
0.0;0.49310858631546656;-0.12663474777965628;-0.04765634216179049;0.22;10889.0
0.0;0.5673998142212537;-0.09681107378945669;-0.04192175708707006;0.2;10663.0
0.0;-0.026930009025043784;-0.14537351639296797;0.0029877691952515727;0.36;11031.0
0.0;0.49310858631546656;0.14864040241307222;0.05593771062575276;0.22;8803.0
0.0;0.7902734979386153;0.21290646096717508;0.12840783085592627;0.14;8316.0
