"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","01.06.2018 05:00 - 01.06.2018 06:00 (CET)","413","n/e","n/e","2813","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","2974","335","n/e","0","168","4","147"
"BZN|BE","01.06.2018 06:00 - 01.06.2018 07:00 (CET)","407","n/e","n/e","2728","0","0","n/e","n/e","n/e","0","","6","n/e","n/e","2975","361","n/e","29","169","","196"
"BZN|BE","01.06.2018 07:00 - 01.06.2018 08:00 (CET)","393","n/e","n/e","2777","0","0","n/e","n/e","n/e","62","","7","n/e","n/e","2975","512","n/e","73","165","","187"
"BZN|BE","01.06.2018 08:00 - 01.06.2018 09:00 (CET)","395","n/e","n/e","2870","0","0","n/e","n/e","n/e","19","","10","n/e","n/e","2974","630","n/e","156","166","24","138"
"BZN|BE","01.06.2018 09:00 - 01.06.2018 10:00 (CET)","398","n/e","n/e","3097","0","0","n/e","n/e","n/e","506","","10","n/e","n/e","2975","677","n/e","257","163","26","109"
"BZN|BE","01.06.2018 10:00 - 01.06.2018 11:00 (CET)","395","n/e","n/e","3101","0","0","n/e","n/e","n/e","745","","10","n/e","n/e","2971","690","n/e","332","159","37","125"
"BZN|BE","01.06.2018 11:00 - 01.06.2018 12:00 (CET)","397","n/e","n/e","3236","0","0","n/e","n/e","n/e","768","","10","n/e","n/e","2971","700","n/e","401","163","37","116"
"BZN|BE","01.06.2018 12:00 - 01.06.2018 13:00 (CET)","395","n/e","n/e","3381","0","0","n/e","n/e","n/e","224","","9","n/e","n/e","2970","702","n/e","413","165","8","142"
"BZN|BE","01.06.2018 13:00 - 01.06.2018 14:00 (CET)","397","n/e","n/e","3325","0","0","n/e","n/e","n/e","93","","9","n/e","n/e","2970","703","n/e","481","160","5","178"
"BZN|BE","01.06.2018 14:00 - 01.06.2018 15:00 (CET)","413","n/e","n/e","3166","0","0","n/e","n/e","n/e","91","","10","n/e","n/e","2971","710","n/e","590","167","24","193"
"BZN|BE","01.06.2018 15:00 - 01.06.2018 16:00 (CET)","418","n/e","n/e","3173","0","0","n/e","n/e","n/e","113","","9","n/e","n/e","2973","707","n/e","490","164","42","185"
"BZN|BE","01.06.2018 16:00 - 01.06.2018 17:00 (CET)","412","n/e","n/e","3140","0","0","n/e","n/e","n/e","155","","8","n/e","n/e","2975","719","n/e","450","164","27","138"
"BZN|BE","01.06.2018 17:00 - 01.06.2018 18:00 (CET)","420","n/e","n/e","3050","0","0","n/e","n/e","n/e","323","","9","n/e","n/e","2976","709","n/e","392","164","44","143"
"BZN|BE","01.06.2018 18:00 - 01.06.2018 19:00 (CET)","421","n/e","n/e","2979","0","0","n/e","n/e","n/e","258","","11","n/e","n/e","2975","656","n/e","256","160","119","150"
"BZN|BE","01.06.2018 19:00 - 01.06.2018 20:00 (CET)","420","n/e","n/e","2862","0","0","n/e","n/e","n/e","16","","10","n/e","n/e","2975","572","n/e","132","165","260","109"
"BZN|BE","01.06.2018 20:00 - 01.06.2018 21:00 (CET)","414","n/e","n/e","2926","0","0","n/e","n/e","n/e","72","","10","n/e","n/e","2976","530","n/e","53","168","258","91"
"BZN|BE","01.06.2018 21:00 - 01.06.2018 22:00 (CET)","409","n/e","n/e","2866","0","0","n/e","n/e","n/e","61","","10","n/e","n/e","2975","492","n/e","4","168","211","119"
"BZN|BE","01.06.2018 22:00 - 01.06.2018 23:00 (CET)","406","n/e","n/e","2839","0","0","n/e","n/e","n/e","12","","11","n/e","n/e","2974","417","n/e","0","169","167","91"
