Timestep,Load,LFS,LFW,ResidualLoad
6484,8298,0,0.08590197069226882,8128
6485,8208,0,0.08640727640222334,8037
6486,8411,0,0.09297625063163213,8227
6487,9143,0,0.10965133906013137,8926
6488,10442,0.00029682398337785694,0.14047498736735725,10163
6489,10743,0.019590382902938557,0.14552804446690248,10389
6490,11012,0.04986642920747997,0.1571500757958565,10533
6491,11098,0.11012169783318491,0.15765538150581102,10415
6492,11010,0.165924606708222,0.16472966144517434,10125
6493,11050,0.20599584446423272,0.16523496715512886,10029
6494,11003,0.2908875037102998,0.18292066700353715,9661
6495,10565,0.3466904125853369,0.19201616978271854,9017
6496,10456,0.37459186702285546,0.18140474987367358,8835
6497,10379,0.26298604927278124,0.18544719555330974,9126
6498,10318,0.1585040071237756,0.21273370389085397,9363
6499,10388,0.05313149302463639,0.19201616978271854,9829
6500,10263,0.0026714158504007124,0.14653865588681153,9964
6501,10348,0,0.19504800404244568,9962
6502,9838,0,0.2945932289034866,9255
6503,9794,0,0.2834765032844871,9233
6504,9385,0,0.25113693784739766,8888
6505,8979,0,0.24759979787771602,8489
6506,8289,0,0.2228398180899444,7848
6507,8016,0,0.19201616978271854,7636
6508,7945,0,0.15159171298635674,7645
6509,7745,0,0.1349166245578575,7478
6510,7797,0,0.11824153612935827,7563
6511,7993,0,0.09853461344113189,7798
6512,8588,0.0011872959335114278,0.09550277918140475,8395
6513,8931,0.06173938854259424,0.1147043961596766,8496
6514,9473,0.21875927574948056,0.09954522486104093,8539
6515,9641,0.38438705847432475,0.04143506821627085,8264
6516,9518,0.5176610270109825,0.04244567963617989,7690
6517,9488,0.6046304541406946,0.05811015664477009,7336
6518,9339,0.6227367171267438,0.059120768064679134,7124
6519,8984,0.5918670228554467,0.043961596766043456,6903
6520,8962,0.5140991392104483,0.03739262253663466,7156
6521,8805,0.38141881864054616,0.025265285497726123,7470
6522,8950,0.2163846838824577,0.01819100555836281,8185
6523,9245,0.058771148708815675,0.019201616978271854,9009
6524,9500,0.0023745918670228555,0.040929762506316324,9411
6525,9853,0,0.07074279939363315,9713
6526,9502,0,0.08236483072258717,9339
6527,9144,0,0.09954522486104093,8947
6528,9088,0,0.09600808489135927,8898
6529,8571,0,0.07680646791308741,8419
6530,8169,0,0.06568974229408793,8039
6531,7943,0,0.03840323395654371,7867
6532,7650,0,0.02627589691763517,7598
6533,7616,0,0.022738756947953513,7571
6534,7619,0,0.025265285497726123,7569
6535,7774,0,0.026781202627589692,7721
6536,8201,0.0008904719501335708,0.027791814047498736,8143
6537,8290,0.06173938854259424,0.026781202627589692,8029
6538,8762,0.2330068269516177,0.02223345123799899,7933
6539,9084,0.40368061739388544,0.0202122283981809,7684
6540,9178,0.5256752745621847,0.01667508842849924,7374
6541,9260,0.587117839121401,0.017180394138453764,7248
6542,8931,0.5633719204511725,0.019201616978271854,6995
6543,8675,0.5170673790442267,0.024759979787771603,6884
6544,8477,0.43603443158207184,0.03890853966649823,6931
6545,8471,0.2899970317601662,0.06417382516422436,7367
6546,8485,0.1329771445532799,0.07983830217281455,7879
6547,9082,0.03561887800534283,0.09550277918140475,8773
6548,9498,0.0008904719501335708,0.11723092470944922,9263
6549,10021,0,0.1369378473976756,9750
6550,9583,0,0.1298635674583123,9326
6551,9180,0,0.1278423446184942,8927
6552,9059,0,0.14098029307731177,8780
6553,8514,0,0.12834765032844872,8260
6554,7985,0,0.13845376452753916,7711
6555,7746,0,0.13239009600808488,7484
6556,7798,0,0.1192521475492673,7562
6557,7754,0,0.1303688731682668,7496
6558,7968,0,0.1571500757958565,7657
6559,9189,0,0.17180394138453764,8849
6560,10531,0,0.1657402728650834,10203
6561,10879,0.04125853368952211,0.1869631126831733,10370
6562,11049,0.14633422380528346,0.1480545730166751,10263
6563,11065,0.26387652122291483,0.16725618999494693,9845
6564,11139,0.3294746215494212,0.20515411824153612,9623
6565,10907,0.37399821905609976,0.21980798383021727,9212
6566,10517,0.40368061739388544,0.2945932289034866,8574
6567,10558,0.42030276046304543,0.34967155128852956,8450
6568,10558,0.38201246660730187,0.3683678625568469,8542
6569,10258,0.2653606411398041,0.3683678625568469,8635
6570,10252,0.15078658355595131,0.3734209196563921,9005
6571,10684,0.04244582962303354,0.32086912582112176,9906
6572,10994,0.0008904719501335708,0.2617483577564427,10473
6573,11303,0,0.19252147549267307,10922
6574,10402,0,0.13340070742799393,10138
6575,9924,0,0.10712481051035877,9712
6576,9792,0,0.07680646791308741,9640
6577,8850,0,0.08943911066195048,8673
6578,8233,0,0.13188479029813036,7972
6579,7649,0,0.1657402728650834,7321
6580,7711,0,0.2046488125315816,7306
6581,7865,0,0.23041940373926226,7409
6582,8058,0,0.3279434057604851,7409
6583,8915,0,0.39413845376452755,8135
6584,10112,0,0.45224861040929765,9217
6585,10332,0.009498367468091422,0.4830722587165235,9344
6586,10605,0.03383793410507569,0.4608388074785245,9579
6587,10708,0.04007123775601069,0.4588175846387064,9665
6588,10965,0.06737904422677353,0.4229408792319353,9901
