Timestep;Load;LFS;LFW
185;10.7509825;0.002292755;0.016278157
186;11.36103;0;0.016742227
187;11.630555;0;0.017394985
188;11.47805;0;0.018339699
189;11.1334;0;0.018112764
190;10.6766475;0;0.020843639
191;10.653005;0;0.022733068
192;10.55816;0;0.035936122
193;10.1312075;0;0.051921047
194;9.6386775;0;0.059328322
195;9.328285;0;0.084193053
196;9.27317;0;0.106729784
197;9.366855;0;0.114631727
198;9.8083025;0;0.154792928
199;11.0664675;0;0.177380655
200;12.0368575;0;0.209716408
201;12.54493;3.89E-05;0.273090045
202;12.54537;0.010358036;0.310473199
203;12.6080025;0.046270802;0.351283333
204;12.674735;0.089642642;0.362032169
205;12.4042975;0.089020347;0.327590252
206;12.4507925;0.062964393;0.433275877
207;12.3901875;0.038754157;0.47253316
208;12.3932925;0.016138182;0.508151828
209;12.47448;0.002234335;0.548765624
210;12.98776;0;0.587343376
211;12.9136225;0;0.640597988
212;12.3488075;0;0.638592541
213;11.8098875;0;0.686729631
214;11.1365;0;0.666158824
215;11.124275;0;0.578536241
216;10.940885;0;0.466241439
217;10.441475;0;0.541283129
218;9.9922575;0;0.542399957
219;9.7289675;0;0.458078137
220;9.5431475;0;0.369123264
221;9.6379;0;0.366104258
222;10.19103;0;0.35561168
223;11.31821;0;0.294042052
224;12.2586825;0;0.242507305
225;12.6394325;4.23E-05;0.2094423
226;12.6064475;0.022977499;0.256969979
227;12.62491;0.056003157;0.288303644
228;12.7329625;0.08907538;0.186764054
229;12.5877475;0.098110933;0.179695907
230;12.649175;0.079851022;0.149626959
231;12.512105;0.055669573;0.1310463
232;12.4783975;0.034187274;0.113434579
233;12.34548;0.004939413;0.105921486
234;13.0415225;0;0.095819033
235;13.0520275;0;0.126558587
236;12.544335;0;0.131789577
237;12.047055;0;0.125323192
238;11.406925;0;0.140021725
239;11.447535;0;0.156565064
240;11.411905;0;0.195763702
241;10.7511525;0;0.17534971
242;10.2830125;0;0.239376106
243;9.9071;0;0.352516179
244;9.5896275;0;0.452657185
245;9.54285;0;0.478821058
246;9.840675;0;0.545960804
247;10.8562325;0;0.626819946
248;11.9023125;0;0.70109031
249;12.384845;1.44E-05;0.703612098
250;12.3808975;0.002566226;0.724010791
251;12.2320075;0.017486064;0.756967429
252;12.27264;0.05188077;0.748116946
253;12.04857;0.072021112;0.766372501
254;11.98606;0.088768889;0.704892117
255;11.94145;0.088053462;0.710622874
256;11.7922075;0.049181619;0.673845307
257;11.6795275;0.009324264;0.668434554
258;12.4013325;0;0.722557384
259;12.4671325;0;0.67878944
260;11.96549;0;0.674362924
261;11.3992975;0;0.651550811
262;10.8312125;0;0.624890995
263;10.9164375;0;0.590144372
264;10.849925;0;0.580768622
265;10.292;0;0.599801878
266;9.8778875;0;0.612484765
267;9.5227725;0;0.616563229
268;9.3423175;0;0.607531707
269;9.3871775;0;0.61677869
270;9.8186675;0;0.610268957
271;10.9041275;0;0.579308841
272;11.874315;0;0.5666948
273;12.2274575;0.000167639;0.558610543
274;12.2765525;0.026347205;0.55702582
275;12.34903;0.076387337;0.544226915
276;12.39903;0.126696706;0.49172833
277;12.1924575;0.159158488;0.402818079
278;12.216485;0.104754672;0.404666711
279;12.16552;0.04861859;0.424909863
280;12.339315;0.015074777;0.321162113
281;12.45254;0.001133677;0.320574376
282;13.0124125;3.64E-05;0.423824908
283;12.904995;0;0.548692954
284;12.27612;0;0.476355366
285;11.85041;0;0.369412671
286;11.3028075;0;0.408117915
287;11.490945;0;0.680784687
288;11.483095;0;0.660963532
289;10.9131775;0;0.66981529
290;10.4876825;0;0.670487172
291;10.241025;0;0.677562968
292;10.061855;0;0.697903014
293;10.0665525;0;0.689586723
294;10.407;0;0.678083135
295;11.512825;0;0.65179687
296;12.358585;0;0.600517107
297;12.73871;5.50E-05;0.584524532
298;12.8177925;0.013859821;0.594160365
299;12.81394;0.074342653;0.583211366
300;12.80817;0.165845407;0.56951237
301;12.5929925;0.17196591;0.587663381
302;12.537485;0.126143837;0.591143908
303;12.495535;0.061432785;0.588537975
304;12.4982075;0.021107228;0.559184257
305;12.4716875;0.002635652;0.543635353
306;12.884875;2.54E-06;0.578373051
307;12.7636775;0;0.634542126
308;12.240905;0;0.692234728
309;11.6959775;0;0.74134203
310;11.1251975;0;0.733190202
311;11.1809225;0;0.710829411
